RowID ^ Count ^ Phrase
83 ^ 437 ^ they
84 ^ 437 ^ people
85 ^ 435 ^ ye
86 ^ 433 ^ years
87 ^ 431 ^ christ
88 ^ 424 ^ shall be
89 ^ 419 ^ nor
90 ^ 415 ^ there
91 ^ 412 ^ over
92 ^ 385 ^ it
93 ^ 376 ^ out of
94 ^ 370 ^ unto him
95 ^ 364 ^ david
96 ^ 361 ^ of egypt
97 ^ 356 ^ thee
98 ^ 355 ^ among
99 ^ 354 ^ come
100 ^ 353 ^ at
101 ^ 352 ^ thousand
102 ^ 345 ^ unto them
103 ^ 344 ^ unto the lord
104 ^ 344 ^ be
105 ^ 342 ^ answered
106 ^ 338 ^ and he said
107 ^ 335 ^ and it came to pass
108 ^ 320 ^ of the children
109 ^ 317 ^ thy god
110 ^ 316 ^ the house
111 ^ 310 ^ a man
112 ^ 308 ^ father
113 ^ 306 ^ unto you
114 ^ 305 ^ of all
115 ^ 305 ^ us
116 ^ 303 ^ hundred
117 ^ 295 ^ where
118 ^ 295 ^ go
119 ^ 293 ^ until
120 ^ 289 ^ shall not
121 ^ 284 ^ of the house
122 ^ 284 ^ of hosts
123 ^ 283 ^ thy
124 ^ 278 ^ spoke
125 ^ 277 ^ their
126 ^ 276 ^ forever
127 ^ 276 ^ evil
128 ^ 275 ^ two
129 ^ 274 ^ how
130 ^ 271 ^ heaven
131 ^ 270 ^ great
132 ^ 270 ^ every
133 ^ 269 ^ the earth
134 ^ 269 ^ year
135 ^ 266 ^ o lord
136 ^ 261 ^ seven
137 ^ 260 ^ your
138 ^ 259 ^ city
139 ^ 259 ^ many
140 ^ 257 ^ saw
141 ^ 257 ^ jerusalem
142 ^ 255 ^ went
143 ^ 254 ^ of man
144 ^ 251 ^ took
145 ^ 251 ^ of david
146 ^ 250 ^ are
147 ^ 248 ^ and behold
148 ^ 246 ^ in the land
149 ^ 245 ^ again
150 ^ 242 ^ hear
151 ^ 241 ^ name
152 ^ 241 ^ heard
153 ^ 240 ^ more
154 ^ 239 ^ three
155 ^ 238 ^ good
156 ^ 238 ^ wherefore
157 ^ 237 ^ of the earth
158 ^ 232 ^ sent
159 ^ 230 ^ brethren
160 ^ 228 ^ disciples
161 ^ 225 ^ say
162 ^ 225 ^ do
163 ^ 225 ^ and moses
164 ^ 224 ^ were
165 ^ 223 ^ spirit
166 ^ 221 ^ earth
167 ^ 220 ^ and david
168 ^ 216 ^ and the king
169 ^ 213 ^ commanded
170 ^ 213 ^ even
171 ^ 213 ^ we
172 ^ 211 ^ place
173 ^ 211 ^ our
174 ^ 210 ^ why
175 ^ 209 ^ under
176 ^ 208 ^ made
177 ^ 207 ^ his son
178 ^ 206 ^ he said
179 ^ 202 ^ word
180 ^ 201 ^ the sons
181 ^ 200 ^ another
182 ^ 200 ^ of the land
183 ^ 199 ^ world
184 ^ 196 ^ heart
185 ^ 195 ^ cubits
186 ^ 193 ^ and if
187 ^ 193 ^ 
188 ^ 189 ^ without
189 ^ 189 ^ time
190 ^ 188 ^ the kings
191 ^ 188 ^ the priest
192 ^ 187 ^ give
193 ^ 187 ^ her
194 ^ 186 ^ did
195 ^ 186 ^ round about
196 ^ 185 ^ yet
197 ^ 185 ^ only
198 ^ 182 ^ the city
199 ^ 182 ^ see
200 ^ 181 ^ speak
201 ^ 181 ^ to the
202 ^ 180 ^ sons
203 ^ 178 ^ words
204 ^ 177 ^ blessed
205 ^ 176 ^ the men
206 ^ 175 ^ and the children
207 ^ 172 ^ land
208 ^ 172 ^ every one
209 ^ 172 ^ the word
210 ^ 171 ^ thou shalt not
211 ^ 171 ^ of the congregation
212 ^ 171 ^ faith
213 ^ 170 ^ cities
214 ^ 169 ^ in the midst
215 ^ 169 ^ know
216 ^ 168 ^ flesh
217 ^ 168 ^ between
218 ^ 167 ^ hand
219 ^ 167 ^ i say
220 ^ 166 ^ lest
221 ^ 166 ^ take
222 ^ 166 ^ is not
223 ^ 165 ^ these things
224 ^ 164 ^ your god
225 ^ 163 ^ gave
226 ^ 163 ^ old
227 ^ 163 ^ am the lord
228 ^ 163 ^ saul
229 ^ 162 ^ called
230 ^ 162 ^ bread
231 ^ 162 ^ toward
232 ^ 161 ^ children
233 ^ 161 ^ the ark
234 ^ 161 ^ kingdom
235 ^ 160 ^ every man
236 ^ 157 ^ of the people
237 ^ 156 ^ the words
238 ^ 156 ^ through
239 ^ 156 ^ of babylon
240 ^ 154 ^ life
241 ^ 152 ^ other
242 ^ 151 ^ jews
243 ^ 150 ^ fear
244 ^ 149 ^ of heaven
245 ^ 149 ^ himself
246 ^ 149 ^ of jerusalem
247 ^ 148 ^ both
248 ^ 146 ^ sea
249 ^ 145 ^ yea
250 ^ 145 ^ grace
251 ^ 145 ^ law
252 ^ 144 ^ whose
253 ^ 144 ^ any
254 ^ 143 ^ five
255 ^ 143 ^ have
256 ^ 142 ^ blood
257 ^ 142 ^ and i
258 ^ 142 ^ water
259 ^ 142 ^ in the sight
260 ^ 142 ^ peace
261 ^ 142 ^ unto the
262 ^ 141 ^ nothing
263 ^ 140 ^ power
264 ^ 139 ^ whosoever
265 ^ 139 ^ nations
266 ^ 138 ^ and upon
267 ^ 138 ^ and the sons
268 ^ 137 ^ all things
269 ^ 136 ^ in all
270 ^ 136 ^ jordan
271 ^ 135 ^ then said
272 ^ 135 ^ solomon
273 ^ 134 ^ the altar
274 ^ 134 ^ judah
275 ^ 134 ^ first
276 ^ 133 ^ peter
277 ^ 132 ^ his father
278 ^ 132 ^ to do
279 ^ 132 ^ concerning
280 ^ 132 ^ of this
281 ^ 132 ^ than
282 ^ 132 ^ glory
283 ^ 131 ^ none
284 ^ 130 ^ the days
285 ^ 130 ^ the god
286 ^ 129 ^ holy
287 ^ 129 ^ verily
288 ^ 129 ^ paul
289 ^ 128 ^ and to
290 ^ 127 ^ eat
291 ^ 127 ^ month
292 ^ 127 ^ brother
293 ^ 127 ^ work
294 ^ 126 ^ and say
295 ^ 125 ^ till
296 ^ 125 ^ wife
297 ^ 125 ^ body
298 ^ 125 ^ of his
299 ^ 124 ^ of men
300 ^ 124 ^ a great
301 ^ 124 ^ of gold
302 ^ 123 ^ together
303 ^ 123 ^ thing
304 ^ 121 ^ the day
305 ^ 121 ^ love
306 ^ 120 ^ wherein
307 ^ 120 ^ even unto
308 ^ 120 ^ the priests
309 ^ 119 ^ way
310 ^ 119 ^ temple
311 ^ 117 ^ sin
312 ^ 117 ^ in that
313 ^ 116 ^ and put
314 ^ 116 ^ the voice
315 ^ 116 ^ begot
316 ^ 116 ^ and five
317 ^ 116 ^ and the people
318 ^ 116 ^ our god
319 ^ 115 ^ of the tabernacle
320 ^ 115 ^ according
321 ^ 114 ^ the same
322 ^ 114 ^ the way
323 ^ 114 ^ some
324 ^ 114 ^ though
325 ^ 113 ^ within
326 ^ 113 ^ in the house
327 ^ 113 ^ stood
328 ^ 113 ^ surely
329 ^ 113 ^ side
330 ^ 113 ^ judgment
331 ^ 112 ^ woman
332 ^ 112 ^ whither
333 ^ 112 ^ gods
334 ^ 112 ^ cometh
335 ^ 112 ^ and the priest
336 ^ 111 ^ the man
337 ^ 111 ^ the name
338 ^ 111 ^ his hand
339 ^ 111 ^ and two
340 ^ 111 ^ my people
341 ^ 110 ^ of the city
342 ^ 110 ^ of the sons
343 ^ 110 ^ and came
344 ^ 110 ^ twelve
345 ^ 110 ^ the inhabitants
346 ^ 109 ^ four
347 ^ 109 ^ wisdom
348 ^ 108 ^ of the king
349 ^ 108 ^ gate
350 ^ 107 ^ above
351 ^ 107 ^ died
352 ^ 107 ^ voice
353 ^ 107 ^ the congregation
354 ^ 106 ^ servants
355 ^ 106 ^ much
356 ^ 106 ^ of the kings
357 ^ 105 ^ the daughter
358 ^ 104 ^ in the day
359 ^ 104 ^ works
360 ^ 104 ^ in jerusalem
361 ^ 103 ^ went out
362 ^ 103 ^ aaron
363 ^ 103 ^ and aaron
364 ^ 102 ^ and god
365 ^ 102 ^ no man
366 ^ 101 ^ beast
367 ^ 101 ^ and went
368 ^ 101 ^ went up
369 ^ 101 ^ kings
370 ^ 101 ^ my lord
371 ^ 101 ^ lo
372 ^ 101 ^ of moab
373 ^ 101 ^ john
374 ^ 100 ^ of assyria
375 ^ 100 ^ brought
376 ^ 100 ^ had
377 ^ 100 ^ in the wilderness
378 ^ 100 ^ of the philistines
379 ^ 100 ^ jacob
380 ^ 100 ^ it is
381 ^ 100 ^ the tabernacle
382 ^ 100 ^ woe
383 ^ 99 ^ and he
384 ^ 99 ^ i pray thee
385 ^ 99 ^ of jacob
386 ^ 99 ^ shall come
387 ^ 99 ^ jeremiah
388 ^ 98 ^ i know
389 ^ 98 ^ save
390 ^ 98 ^ my soul
391 ^ 97 ^ and it shall come to pass
392 ^ 97 ^ reigned
393 ^ 97 ^ fire
394 ^ 97 ^ the prophet
395 ^ 96 ^ abraham
396 ^ 96 ^ whether
397 ^ 96 ^ whatsoever
398 ^ 96 ^ the law
399 ^ 96 ^ righteousness
400 ^ 96 ^ will
401 ^ 96 ^ of the wicked
402 ^ 96 ^ am
403 ^ 95 ^ ten
404 ^ 95 ^ gold
405 ^ 95 ^ of benjamin
406 ^ 94 ^ and took
407 ^ 94 ^ arise
408 ^ 94 ^ of their fathers
409 ^ 94 ^ joshua
410 ^ 94 ^ praise
411 ^ 93 ^ night
412 ^ 93 ^ she
413 ^ 93 ^ hearken
414 ^ 93 ^ about
415 ^ 92 ^ make
416 ^ 92 ^ a hundred
417 ^ 92 ^ thy servant
418 ^ 92 ^ beside
419 ^ 92 ^ and saul
420 ^ 92 ^ there was
421 ^ 91 ^ i will not
422 ^ 91 ^ and it shall be
423 ^ 91 ^ and not
424 ^ 91 ^ ghost
425 ^ 90 ^ light
426 ^ 90 ^ and this
427 ^ 90 ^ here
428 ^ 90 ^ of ammon
429 ^ 90 ^ of silver
430 ^ 89 ^ death
431 ^ 88 ^ the face
432 ^ 88 ^ this day
433 ^ 88 ^ and twenty
434 ^ 88 ^ according to all
435 ^ 88 ^ dwelt
436 ^ 88 ^ the cities
437 ^ 88 ^ hands
438 ^ 88 ^ there is
439 ^ 87 ^ the waters
440 ^ 87 ^ the sea
441 ^ 87 ^ twenty
442 ^ 87 ^ the levites
443 ^ 87 ^ having
444 ^ 86 ^ of the field
445 ^ 86 ^ and there
446 ^ 86 ^ to give
447 ^ 86 ^ the river
448 ^ 86 ^ drink
449 ^ 86 ^ pharisees
450 ^ 85 ^ and brought
451 ^ 85 ^ knew
452 ^ 85 ^ his fathers
453 ^ 85 ^ mouth
454 ^ 85 ^ in israel
455 ^ 85 ^ prophets
456 ^ 84 ^ of canaan
457 ^ 84 ^ those
458 ^ 84 ^ arose
459 ^ 84 ^ but if
460 ^ 84 ^ the spirit
461 ^ 84 ^ the blood
462 ^ 84 ^ six
463 ^ 84 ^ a
464 ^ 84 ^ the work
465 ^ 84 ^ of christ
466 ^ 83 ^ forty
467 ^ 83 ^ multitude
468 ^ 82 ^ returned
469 ^ 82 ^ and with
470 ^ 82 ^ hath
471 ^ 81 ^ pharaoh
472 ^ 81 ^ my father
473 ^ 81 ^ feet
474 ^ 81 ^ joseph
475 ^ 80 ^ sheep
476 ^ 80 ^ and the men
477 ^ 80 ^ in the morning
478 ^ 80 ^ stones
479 ^ 80 ^ of manasseh
480 ^ 80 ^ the book
481 ^ 80 ^ truth
482 ^ 80 ^ of jesus
483 ^ 79 ^ found
484 ^ 79 ^ the father
485 ^ 79 ^ the princes
486 ^ 79 ^ wine
487 ^ 79 ^ he saith
488 ^ 79 ^ dead
489 ^ 78 ^ and now
490 ^ 78 ^ tell
491 ^ 78 ^ his people
492 ^ 78 ^ the philistines
493 ^ 78 ^ me saying
494 ^ 77 ^ it came to pass
495 ^ 77 ^ fell
496 ^ 77 ^ and they said
497 ^ 77 ^ over against
498 ^ 77 ^ put
499 ^ 77 ^ times
500 ^ 77 ^ remember
501 ^ 77 ^ be not
502 ^ 77 ^ eyes
503 ^ 76 ^ the host
504 ^ 76 ^ and his sons
505 ^ 76 ^ the nations
506 ^ 76 ^ my son
507 ^ 76 ^ servant
508 ^ 76 ^ live
509 ^ 76 ^ knoweth
510 ^ 76 ^ fathers
511 ^ 76 ^ written
512 ^ 75 ^ the flesh
513 ^ 75 ^ is come
514 ^ 75 ^ to be
515 ^ 75 ^ nation
516 ^ 75 ^ can
517 ^ 75 ^ and these
518 ^ 75 ^ wherewith
519 ^ 75 ^ return
520 ^ 75 ^ with all
521 ^ 75 ^ a certain
522 ^ 75 ^ he did
523 ^ 75 ^ likewise
524 ^ 75 ^ amen
525 ^ 75 ^ hour
526 ^ 74 ^ soul
527 ^ 74 ^ ye shall not
528 ^ 74 ^ the place
529 ^ 74 ^ the wicked
530 ^ 74 ^ stand
531 ^ 74 ^ his servants
532 ^ 74 ^ mother
533 ^ 74 ^ of moses
534 ^ 74 ^ the family
535 ^ 74 ^ his own
536 ^ 73 ^ of the sea
537 ^ 73 ^ and unto
538 ^ 73 ^ liveth
539 ^ 73 ^ to meet
540 ^ 73 ^ that which
541 ^ 73 ^ to eat
542 ^ 73 ^ in his stead
543 ^ 73 ^ and one
544 ^ 73 ^ the camp
545 ^ 73 ^ whole
546 ^ 73 ^ the dead
547 ^ 73 ^ i saw
548 ^ 72 ^ and seven
549 ^ 72 ^ and three
550 ^ 72 ^ dwell
551 ^ 72 ^ hath not
552 ^ 72 ^ master
553 ^ 72 ^ the holy
554 ^ 72 ^ wrath
555 ^ 72 ^ angel
556 ^ 72 ^ gospel
557 ^ 72 ^ of our
558 ^ 71 ^ and every
559 ^ 71 ^ and jacob
560 ^ 71 ^ waters
561 ^ 71 ^ and joshua
562 ^ 71 ^ same
563 ^ 71 ^ joy
564 ^ 70 ^ out of the land
565 ^ 70 ^ daughter
566 ^ 70 ^ of war
567 ^ 70 ^ any man
568 ^ 69 ^ of the first
569 ^ 69 ^ any more
570 ^ 69 ^ head
571 ^ 69 ^ of aaron
572 ^ 69 ^ is in
573 ^ 69 ^ knowledge
574 ^ 68 ^ set
575 ^ 68 ^ his name
576 ^ 68 ^ thither
577 ^ 68 ^ and do
578 ^ 68 ^ unto me
579 ^ 68 ^ gentiles
580 ^ 67 ^ seed
581 ^ 67 ^ in this
582 ^ 67 ^ from before
583 ^ 67 ^ except
584 ^ 67 ^ o god
585 ^ 67 ^ keep
586 ^ 67 ^ and israel
587 ^ 67 ^ silver
588 ^ 67 ^ with fire
589 ^ 67 ^ unto thee
590 ^ 66 ^ fruit
591 ^ 66 ^ always
592 ^ 66 ^ and of
593 ^ 66 ^ departed
594 ^ 66 ^ even to
595 ^ 66 ^ full
596 ^ 66 ^ the sun
597 ^ 66 ^ to the lord
598 ^ 66 ^ smote
599 ^ 66 ^ themselves
600 ^ 66 ^ iniquity
601 ^ 66 ^ of saul
602 ^ 66 ^ spake
603 ^ 66 ^ church
604 ^ 65 ^ of life
605 ^ 65 ^ to him
606 ^ 65 ^ were with
607 ^ 65 ^ the mountains
608 ^ 65 ^ was come
609 ^ 65 ^ have not
610 ^ 65 ^ unto all
611 ^ 65 ^ die
612 ^ 65 ^ to come
613 ^ 65 ^ deliver
614 ^ 65 ^ ephraim
615 ^ 65 ^ honor
616 ^ 65 ^ of them
617 ^ 64 ^ it was
618 ^ 64 ^ such
619 ^ 64 ^ art
620 ^ 63 ^ tree
621 ^ 63 ^ alone
622 ^ 63 ^ darkness
623 ^ 63 ^ their god
624 ^ 63 ^ let not
625 ^ 63 ^ of ephraim
626 ^ 63 ^ left
627 ^ 63 ^ of the tribe
628 ^ 63 ^ scribes
629 ^ 63 ^ selah
630 ^ 63 ^ when the
631 ^ 62 ^ to see
632 ^ 62 ^ well
633 ^ 62 ^ and set
634 ^ 62 ^ angels
635 ^ 62 ^ my god
636 ^ 62 ^ the two
637 ^ 62 ^ and four
638 ^ 62 ^ mount
639 ^ 62 ^ commandment
640 ^ 62 ^ the sword
641 ^ 62 ^ it is written
642 ^ 62 ^ hezekiah
643 ^ 61 ^ the whole
644 ^ 61 ^ to all
645 ^ 61 ^ and called
646 ^ 61 ^ a son
647 ^ 61 ^ wood
648 ^ 61 ^ of the covenant
649 ^ 61 ^ to go
650 ^ 61 ^ his face
651 ^ 61 ^ command
652 ^ 61 ^ him not
653 ^ 61 ^ and his brethren
654 ^ 61 ^ nevertheless
655 ^ 61 ^ hearts
656 ^ 61 ^ and the levites
657 ^ 61 ^ by the sword
658 ^ 61 ^ sins
659 ^ 61 ^ chief priests
660 ^ 60 ^ told
661 ^ 60 ^ and told
662 ^ 60 ^ isaac
663 ^ 60 ^ and he made
664 ^ 60 ^ known
665 ^ 60 ^ and joseph
666 ^ 60 ^ and judah
667 ^ 60 ^ cast
668 ^ 60 ^ ye not
669 ^ 60 ^ by the way
670 ^ 60 ^ believe
671 ^ 60 ^ rejoice
672 ^ 60 ^ nebuchadnezzar
673 ^ 59 ^ is this
674 ^ 59 ^ began
675 ^ 59 ^ to destroy
676 ^ 59 ^ judge
677 ^ 59 ^ and six
678 ^ 59 ^ the righteous
679 ^ 59 ^ bring
680 ^ 59 ^ cannot
681 ^ 59 ^ a thousand
682 ^ 59 ^ the fire
683 ^ 59 ^ will not
684 ^ 59 ^ to whom
685 ^ 59 ^ the head
686 ^ 59 ^ and they
687 ^ 59 ^ the wall
688 ^ 59 ^ he was
689 ^ 58 ^ face
690 ^ 58 ^ stone
691 ^ 58 ^ his wife
692 ^ 58 ^ and also
693 ^ 58 ^ of the altar
694 ^ 58 ^ thine hand
695 ^ 58 ^ egypt
696 ^ 58 ^ into the hand
697 ^ 58 ^ hath given
698 ^ 58 ^ the chief
699 ^ 58 ^ depart
700 ^ 58 ^ delivered
701 ^ 58 ^ mountain
702 ^ 58 ^ the midst
703 ^ 58 ^ he shall not
704 ^ 58 ^ lamb
705 ^ 58 ^ throne
706 ^ 58 ^ to jerusalem
707 ^ 57 ^ slew
708 ^ 57 ^ thirty
709 ^ 57 ^ fifty
710 ^ 57 ^ the hand
711 ^ 57 ^ the evil
712 ^ 57 ^ thy people
713 ^ 57 ^ the vessels
714 ^ 57 ^ elders
715 ^ 57 ^ hope
716 ^ 56 ^ and made
717 ^ 56 ^ it upon
718 ^ 56 ^ and smote
719 ^ 56 ^ his house
720 ^ 56 ^ thereon
721 ^ 56 ^ seek
722 ^ 56 ^ cried
723 ^ 56 ^ of these
724 ^ 56 ^ his head
725 ^ 56 ^ there is no
726 ^ 56 ^ would
727 ^ 56 ^ samuel
728 ^ 55 ^ thereof
729 ^ 55 ^ and thou
730 ^ 55 ^ and take
731 ^ 55 ^ and thirty
732 ^ 55 ^ continually
733 ^ 55 ^ and pitched
734 ^ 55 ^ the door
735 ^ 55 ^ throughout all
736 ^ 55 ^ thy servants
737 ^ 55 ^ shall fall
738 ^ 55 ^ giveth
739 ^ 55 ^ followed
740 ^ 55 ^ the kingdom
741 ^ 55 ^ to the chief musician
742 ^ 54 ^ is upon
743 ^ 54 ^ and slew
744 ^ 54 ^ because of
745 ^ 54 ^ out of egypt
746 ^ 54 ^ in the way
747 ^ 54 ^ country
748 ^ 54 ^ out
749 ^ 54 ^ the firstborn
750 ^ 54 ^ and for
751 ^ 54 ^ them not
752 ^ 54 ^ thine heart
753 ^ 54 ^ the poor
754 ^ 54 ^ the heavens
755 ^ 54 ^ absalom
756 ^ 54 ^ the jews
757 ^ 54 ^ a psalm
758 ^ 54 ^ simon
759 ^ 54 ^ apostles
760 ^ 53 ^ his heart
761 ^ 53 ^ rest
762 ^ 53 ^ meat
763 ^ 53 ^ covenant
764 ^ 53 ^ from thence
765 ^ 53 ^ things
766 ^ 53 ^ and she said
767 ^ 53 ^ it not
768 ^ 53 ^ knowest
769 ^ 53 ^ of reuben
770 ^ 53 ^ i am
771 ^ 53 ^ desolate
772 ^ 53 ^ for a sin offering
773 ^ 53 ^ must
774 ^ 52 ^ and gave
775 ^ 52 ^ his brother
776 ^ 52 ^ from off
777 ^ 52 ^ his sons
778 ^ 52 ^ two hundred
779 ^ 52 ^ fled
780 ^ 52 ^ his brethren
781 ^ 52 ^ today
782 ^ 52 ^ of my people
783 ^ 52 ^ for all
784 ^ 52 ^ thy father
785 ^ 52 ^ by the hand
786 ^ 52 ^ of levi
787 ^ 52 ^ they said
788 ^ 52 ^ the elders
789 ^ 52 ^ of fire
790 ^ 52 ^ to speak
791 ^ 52 ^ even as
792 ^ 52 ^ of syria
793 ^ 52 ^ the prophets
794 ^ 52 ^ joab
795 ^ 52 ^ elijah
796 ^ 52 ^ thine
797 ^ 52 ^ daniel
798 ^ 52 ^ immediately
799 ^ 51 ^ sat
800 ^ 51 ^ into the house
801 ^ 51 ^ in his hand
802 ^ 51 ^ and what
803 ^ 51 ^ of the gate
804 ^ 51 ^ garments
805 ^ 51 ^ and stood
806 ^ 51 ^ priest
807 ^ 51 ^ my face
808 ^ 51 ^ from among
809 ^ 51 ^ how long
810 ^ 51 ^ a woman
811 ^ 51 ^ of death
812 ^ 51 ^ certain
813 ^ 51 ^ beloved
814 ^ 51 ^ true
815 ^ 51 ^ strength
816 ^ 51 ^ being
817 ^ 50 ^ knowing
818 ^ 50 ^ and the man
819 ^ 50 ^ in the field
820 ^ 50 ^ generation
821 ^ 50 ^ are not
822 ^ 50 ^ built
823 ^ 50 ^ any thing
824 ^ 50 ^ and after
825 ^ 50 ^ i said
826 ^ 50 ^ thence
827 ^ 50 ^ of gilead
828 ^ 50 ^ unto god
829 ^ 50 ^ of joseph
830 ^ 50 ^ of gad
831 ^ 50 ^ the border
832 ^ 50 ^ mercy
833 ^ 50 ^ they shall not
834 ^ 50 ^ lambs
835 ^ 50 ^ altar
836 ^ 50 ^ prophet
837 ^ 50 ^ and samuel
838 ^ 50 ^ saints
839 ^ 49 ^ wives
840 ^ 49 ^ in the lord
841 ^ 49 ^ thy name
842 ^ 49 ^ money
843 ^ 49 ^ the glory
844 ^ 49 ^ of brass
845 ^ 49 ^ of the sanctuary
846 ^ 49 ^ and the priests
847 ^ 49 ^ riches
848 ^ 49 ^ of zion
849 ^ 49 ^ and solomon
850 ^ 48 ^ the woman
851 ^ 48 ^ while
852 ^ 48 ^ of water
853 ^ 48 ^ and go
854 ^ 48 ^ of the sword
855 ^ 48 ^ came up
856 ^ 48 ^ talents
857 ^ 48 ^ and upward
858 ^ 48 ^ receive
859 ^ 47 ^ and there was
860 ^ 47 ^ and that
861 ^ 47 ^ shall see
862 ^ 47 ^ and the land
863 ^ 47 ^ by night
864 ^ 47 ^ at that
865 ^ 47 ^ messengers
866 ^ 47 ^ the commandment
867 ^ 47 ^ of the law
868 ^ 47 ^ in the city
869 ^ 47 ^ to god
870 ^ 47 ^ there came
871 ^ 47 ^ they were
872 ^ 47 ^ her suburbs
873 ^ 47 ^ my heart
874 ^ 47 ^ of jeroboam
875 ^ 46 ^ sword
876 ^ 46 ^ rose up
877 ^ 46 ^ and fifty
878 ^ 46 ^ is with
879 ^ 46 ^ him saying
880 ^ 46 ^ of one
881 ^ 46 ^ child
882 ^ 46 ^ was not
883 ^ 46 ^ walk
884 ^ 46 ^ indeed
885 ^ 46 ^ and see
886 ^ 46 ^ hath spoken
887 ^ 46 ^ the servant
888 ^ 46 ^ mine eyes
889 ^ 46 ^ months
890 ^ 46 ^ with a loud
891 ^ 46 ^ he sent
892 ^ 46 ^ moreover
893 ^ 46 ^ wind
894 ^ 46 ^ and thou shalt make
895 ^ 46 ^ with oil
896 ^ 46 ^ zion
897 ^ 46 ^ to hear
898 ^ 46 ^ understanding
899 ^ 45 ^ the first
900 ^ 45 ^ that the lord
901 ^ 45 ^ hearkened
902 ^ 45 ^ of abraham
903 ^ 45 ^ of pharaoh
904 ^ 45 ^ according to
905 ^ 45 ^ women
906 ^ 45 ^ of the fathers
907 ^ 45 ^ and none
908 ^ 45 ^ suffer
909 ^ 45 ^ the lords
910 ^ 45 ^ them for
911 ^ 45 ^ fall
912 ^ 45 ^ turn
913 ^ 45 ^ when he
914 ^ 45 ^ and jonathan
915 ^ 45 ^ coming
916 ^ 45 ^ court
917 ^ 45 ^ his mercy
918 ^ 45 ^ endureth forever
919 ^ 45 ^ ye know
920 ^ 45 ^ mary
921 ^ 45 ^ pilate
922 ^ 44 ^ in the earth
923 ^ 44 ^ bore
924 ^ 44 ^ savor
925 ^ 44 ^ they came
926 ^ 44 ^ him and said
927 ^ 44 ^ for the lord
928 ^ 44 ^ there be
929 ^ 44 ^ shekels
930 ^ 44 ^ asked
931 ^ 44 ^ anger
932 ^ 44 ^ kept
933 ^ 44 ^ his clothes
934 ^ 44 ^ and against
935 ^ 44 ^ send
936 ^ 44 ^ of the priests
937 ^ 44 ^ turned
938 ^ 44 ^ the heart
939 ^ 44 ^ against the lord
940 ^ 44 ^ wilderness
941 ^ 44 ^ therein
942 ^ 44 ^ young
943 ^ 44 ^ the heathen
944 ^ 44 ^ better
945 ^ 44 ^ enter
946 ^ 44 ^ sought
947 ^ 44 ^ the things
948 ^ 44 ^ the throne
949 ^ 44 ^ like
950 ^ 44 ^ prophesy
951 ^ 44 ^ in the
952 ^ 43 ^ and the name
953 ^ 43 ^ seen
954 ^ 43 ^ an altar
955 ^ 43 ^ in the days
956 ^ 43 ^ and abraham
957 ^ 43 ^ seeing
958 ^ 43 ^ to take
959 ^ 43 ^ and drink
960 ^ 43 ^ oil
961 ^ 43 ^ the top
962 ^ 43 ^ sacrifice
963 ^ 43 ^ i have
964 ^ 43 ^ tongue
965 ^ 43 ^ believed
966 ^ 43 ^ of you
