Phrase ^ Count
and the  ^ 717
him, saying,  ^ 60
according to all that  ^ 58
unto them,  ^ 58
the lord god.  ^ 58
for they  ^ 57
which i  ^ 57
unto me, saying,  ^ 57
them, and  ^ 56
in the book  ^ 55
and, behold,  ^ 55
for he  ^ 54
king of judah  ^ 54
unto all  ^ 54
of the children of israel,  ^ 54
unto him,  ^ 54
this day.  ^ 53
at the  ^ 53
the father  ^ 53
i am the lord  ^ 53
his disciples  ^ 53
that were with  ^ 52
in my  ^ 52
is not  ^ 52
unto the lord,  ^ 52
i am the lord.  ^ 52
jesus answered  ^ 52
jesus said  ^ 52
verily i say  ^ 52
reigned in his stead.  ^ 51
king of judah,  ^ 51
for god  ^ 50
the jews  ^ 50
god of israel,  ^ 50
no more  ^ 50
jesus christ,  ^ 49
in his  ^ 49
all the people  ^ 49
saith unto him,  ^ 49
saying, thus  ^ 48
of god, and  ^ 48
unto you, that  ^ 48
but he  ^ 48
when the  ^ 48
and said,  ^ 48
and david said  ^ 47
for thou  ^ 47
and say unto  ^ 47
behold, i  ^ 47
and it came to pass,  ^ 47
the same  ^ 46
you, and  ^ 46
unto the lord  ^ 46
them. and  ^ 46
of the children of israel  ^ 46
as the  ^ 45
of our lord  ^ 44
in all  ^ 44
jesus christ  ^ 44
in this  ^ 44
of the lord  ^ 44
not that  ^ 44
the holy  ^ 44
written in  ^ 44
one of  ^ 44
the temple,  ^ 44
that thou  ^ 43
in the sight of the lord,  ^ 43
saying, speak  ^ 43
the lord your god  ^ 42
the name  ^ 42
the world  ^ 42
god, and  ^ 42
in that day,  ^ 42
in that day  ^ 42
the chief priests  ^ 42
jesus saith  ^ 42
the people that  ^ 41
and this  ^ 41
me. and  ^ 41
i command  ^ 41
i the lord  ^ 41
saith unto them,  ^ 41
his son reigned  ^ 40
of israel, saying,  ^ 40
if a man  ^ 40
and many  ^ 40
the law  ^ 40
according to the  ^ 40
all the days  ^ 40
he said unto them,  ^ 40
me, saying, son  ^ 40
if the  ^ 39
before the  ^ 39
before the lord.  ^ 39
of hosts, the god  ^ 39
the lord god,  ^ 38
if any man  ^ 38
not of  ^ 38
of god. and  ^ 38
the world,  ^ 38
and all israel  ^ 37
in christ  ^ 37
which is in  ^ 37
and when the  ^ 37
all the words  ^ 37
after the  ^ 37
then the  ^ 37
three hundred  ^ 36
over all  ^ 36
heard that  ^ 36
the lord of hosts  ^ 36
unto moses  ^ 36
but now  ^ 36
that god  ^ 36
and the king said  ^ 36
that day  ^ 36
he said  ^ 36
from heaven,  ^ 36
commanded moses.  ^ 36
god of israel  ^ 35
slept with  ^ 35
me, and  ^ 35
in their  ^ 35
with her suburbs,  ^ 35
all this  ^ 34
the whole  ^ 34
among the  ^ 34
not unto  ^ 34
are they not  ^ 34
this people  ^ 34
the book of the chronicles  ^ 34
of the chronicles of the kings  ^ 34
and of the  ^ 34
chief priests and  ^ 34
and moses said  ^ 34
for his mercy  ^ 33
but when  ^ 33
in your  ^ 33
that ye  ^ 33
not written  ^ 33
the children of israel.  ^ 33
the god  ^ 33
and when he  ^ 33
the seven  ^ 33
which is  ^ 32
who is  ^ 32
the lord thy god,  ^ 32
unto the people,  ^ 32
with a loud voice,  ^ 32
years, and begot  ^ 32
the lord of hosts;  ^ 32
the god of israel;  ^ 32
and came to  ^ 31
into the land  ^ 31
before the lord:  ^ 31
and one  ^ 31
saying, this  ^ 31
and that  ^ 31
ye also  ^ 31
that he  ^ 31
the pharisees  ^ 31
of the house of the lord,  ^ 30
the first  ^ 30
and their  ^ 30
i know that  ^ 30
that this  ^ 30
upon all  ^ 30
of all  ^ 30
he said unto  ^ 30
the people,  ^ 30
the disciples  ^ 30
and after  ^ 30
he said,  ^ 30
the lord of hosts.  ^ 30
he answered  ^ 30
one; the king  ^ 30
the ark of the covenant  ^ 29
the grace  ^ 29
you in  ^ 29
the temple  ^ 29
against the  ^ 29
and with  ^ 29
him: and  ^ 29
saying, what  ^ 29
unto the king,  ^ 29
them, thus saith  ^ 29
lambs of the first  ^ 29
and saith  ^ 29
of the lord, which  ^ 28
was with  ^ 28
six hundred  ^ 28
this day,  ^ 28
jesus christ.  ^ 28
and as  ^ 28
but i  ^ 28
but that  ^ 28
now the rest of the acts  ^ 28
king of israel  ^ 28
and no man  ^ 28
these words  ^ 28
the king  ^ 28
thousand and five  ^ 28
and immediately  ^ 28
but jesus  ^ 28
a psalm of david.  ^ 28
the lord our god  ^ 27
father, and  ^ 27
the earth  ^ 27
the body  ^ 27
the gospel  ^ 27
for what  ^ 27
the children  ^ 27
unto the land  ^ 27
for it  ^ 27
unto them, thus  ^ 27
king of babylon  ^ 27
hearken unto  ^ 27
thy god giveth  ^ 27
and whosoever  ^ 27
because the lord  ^ 26
the woman  ^ 26
ye are  ^ 26
the third  ^ 26
and my  ^ 26
with his fathers,  ^ 26
with him  ^ 26
and the word of the lord  ^ 26
other gods,  ^ 26
and it came to pass, when  ^ 26
old and upward,  ^ 26
this city  ^ 26
the sea,  ^ 26
not with  ^ 25
for as  ^ 25
at his  ^ 25
the house  ^ 25
jesus, and  ^ 25
unto the king  ^ 25
seven days  ^ 25
and ye shall know that  ^ 25
this day  ^ 25
hear the word  ^ 25
the king of babylon  ^ 25
the earth,  ^ 25
of them  ^ 25
and said unto them,  ^ 25
god; behold,  ^ 25
answered and  ^ 25
verily, verily,  ^ 25
verily, i say  ^ 25
his disciples,  ^ 25
of the tribe of the children  ^ 25
to the king  ^ 24
his mercy endureth forever.  ^ 24
upon the altar  ^ 24
the lord, and said,  ^ 24
and twenty thousand  ^ 24
evil in the sight  ^ 24
and it came to pass after  ^ 24
could not  ^ 24
through the  ^ 24
is my  ^ 24
of the lord,  ^ 24
and now  ^ 24
not in  ^ 24
him. but  ^ 24
but ye  ^ 24
of god,  ^ 24
we know that  ^ 24
in him.  ^ 24
and all the men  ^ 24
old when he began to reign,  ^ 24
say unto  ^ 24
this great  ^ 24
out of the land of egypt,  ^ 24
into his  ^ 24
this man  ^ 24
and there was  ^ 24
the house of israel  ^ 24
and some  ^ 24
and came  ^ 24
one of the  ^ 24
him. then  ^ 24
in the land of egypt,  ^ 24
i am the lord,  ^ 24
scribes and  ^ 24
to david,  ^ 23
and all the congregation  ^ 23
sent messengers  ^ 23
no man  ^ 23
and the angel of the lord  ^ 23
fell upon  ^ 23
at that time  ^ 23
knew not  ^ 23
the day  ^ 23
every man  ^ 23
the glory  ^ 23
now the  ^ 23
lord, and  ^ 23
and every  ^ 23
to the king,  ^ 23
this thing  ^ 23
and the lord said,  ^ 23
years in jerusalem.  ^ 23
all the congregation  ^ 23
not: for  ^ 23
and great  ^ 23
of you  ^ 23
the voice of the lord  ^ 23
the words of this  ^ 23
him in  ^ 23
to jerusalem,  ^ 23
and said unto him,  ^ 23
for, lo,  ^ 23
saying, take  ^ 23
of the first year  ^ 23
until the even.  ^ 23
and i saw  ^ 23
these are the sons  ^ 22
the word of the lord,  ^ 22
saying, behold,  ^ 22
of the lord god  ^ 22
which moses  ^ 22
over israel  ^ 22
of the tabernacle of the congregation,  ^ 22
he , his sons, and his brethren,  ^ 22
seven hundred  ^ 22
and i  ^ 22
but god  ^ 22
among you,  ^ 22
the other  ^ 22
kingdom of god  ^ 22
and then  ^ 22
know that  ^ 22
depart from  ^ 22
saying, i  ^ 22
that came  ^ 22
from the lord,  ^ 22
and his mother's name  ^ 22
all the land  ^ 22
and the king of israel  ^ 22
in the midst  ^ 22
and to all  ^ 22
saying, if  ^ 22
and thy  ^ 22
thee, and  ^ 22
in those  ^ 22
the angel  ^ 22
entered into  ^ 22
them, saying,  ^ 22
thou art  ^ 22
heaven, and  ^ 22
for, behold,  ^ 22
and it shall come to pass in that  ^ 22
am the lord your god.  ^ 22
unto aaron,  ^ 22
upon the head  ^ 22
of israel, and say  ^ 22
unto him, lord,  ^ 22
all israel  ^ 21
because he  ^ 21
and the king said,  ^ 21
of the lord thy god,  ^ 21
and his brethren, were twelve:  ^ 21
these are the families  ^ 21
and another  ^ 21
not what  ^ 21
for who  ^ 21
but in  ^ 21
upon this  ^ 21
even as  ^ 21
come to  ^ 21
and by  ^ 21
the blood  ^ 21
that is in  ^ 21
that jesus  ^ 21
as the lord liveth,  ^ 21
which god  ^ 21
that he did,  ^ 21
unto him, saying,  ^ 21
when he began to reign, and he reigned  ^ 21
not, neither  ^ 21
the lord, saying,  ^ 21
then came  ^ 21
that they  ^ 21
but they  ^ 21
behold, the days  ^ 21
the days come,  ^ 21
the land of egypt.  ^ 21
from heaven  ^ 21
and what  ^ 21
earth, and  ^ 21
the multitude  ^ 21
art thou  ^ 21
and straightway  ^ 21
of the children of israel.  ^ 21
the land of egypt  ^ 21
unto joshua,  ^ 21
the door of the tabernacle  ^ 21
king over  ^ 20
of the children  ^ 20
of god in  ^ 20
above all  ^ 20
three days  ^ 20
in the house of the lord,  ^ 20
of all that  ^ 20
of god. for  ^ 20
world, and  ^ 20
from god  ^ 20
and so  ^ 20
but as  ^ 20
holy ghost  ^ 20
the time  ^ 20
in him  ^ 20
but also  ^ 20
the works  ^ 20
the lord, the god  ^ 20
this people,  ^ 20
hearkened unto  ^ 20
throughout all  ^ 20
all the people,  ^ 20
of the lord was  ^ 20
sent to  ^ 20
in the land  ^ 20
knowing that  ^ 20
one to  ^ 20
of this  ^ 20
from twenty years  ^ 20
in those days  ^ 20
that which was evil in the sight  ^ 20
nebuchadnezzar king  ^ 20
in whom  ^ 20
with me  ^ 20
and from  ^ 20
the high priest  ^ 20
saying, lord,  ^ 20
jerusalem, and  ^ 20
behold, the  ^ 20
unto him  ^ 20
and he saith  ^ 20
temple, and  ^ 20
the days  ^ 20
live, saith  ^ 20
when jesus  ^ 20
kid of the goats  ^ 20
would not  ^ 19
of the covenant of the lord  ^ 19
unto david,  ^ 19
saying, the lord  ^ 19
of the tabernacle of the congregation.  ^ 19
of jesus christ  ^ 19
whom the  ^ 19
for that  ^ 19
christ jesus  ^ 19
the second  ^ 19
him to  ^ 19
christ, and  ^ 19
and ye  ^ 19
the lord,  ^ 19
the father,  ^ 19
with his  ^ 19
the love  ^ 19
father and  ^ 19
of his  ^ 19
which is by  ^ 19
was in  ^ 19
the son of nebat,  ^ 19
the god of israel,  ^ 19
the evil that  ^ 19
thou knowest  ^ 19
whom the lord  ^ 19
cubits, and the breadth  ^ 19
this place,  ^ 19
not only  ^ 19
i know  ^ 19
with him.  ^ 19
years old,  ^ 19
the lord your god,  ^ 19
by the house of their fathers,  ^ 19
not this  ^ 19
the way  ^ 19
and john  ^ 19
the scribes  ^ 19
saith the lord:  ^ 19
and if a man  ^ 19
the congregation of the children  ^ 19
and they shall know that  ^ 19
me, son of man,  ^ 19
shall make an atonement for  ^ 19
praise ye the lord.  ^ 19
he was  ^ 18
that david  ^ 18
saying, go  ^ 18
which he spoke  ^ 18
o lord god  ^ 18
my brethren,  ^ 18
in the lord.  ^ 18
but by  ^ 18
be not  ^ 18
unto you  ^ 18
was not  ^ 18
and your  ^ 18
christ jesus.  ^ 18
for i know  ^ 18
god. and  ^ 18
him; and  ^ 18
which was  ^ 18
only, but  ^ 18
his life  ^ 18
said, what  ^ 18
the lord spoke  ^ 18
the children of israel:  ^ 18
the man of god  ^ 18
evil upon  ^ 18
of jeroboam the son  ^ 18
four hundred  ^ 18
him, thus saith  ^ 18
said, behold,  ^ 18
unto the place  ^ 18
all the vessels  ^ 18
come upon  ^ 18
came upon  ^ 18
all the children  ^ 18
against this  ^ 18
all his  ^ 18
hundred thousand  ^ 18
lived after  ^ 18
and he did that which was evil  ^ 18
and of  ^ 18
in me,  ^ 18
and they said unto  ^ 18
into this  ^ 18
upon the face  ^ 18
his name  ^ 18
them: and  ^ 18
city, and  ^ 18
kingdom of god.  ^ 18
and when they  ^ 18
among themselves,  ^ 18
of the earth  ^ 18
and cast  ^ 18
day, saith  ^ 18
and upon all  ^ 18
that is upon  ^ 18
behold, i am against  ^ 18
said jesus  ^ 18
my father  ^ 18
king of the  ^ 18
and be unclean until  ^ 18
and the priest shall make an atonement  ^ 18
jesus answering  ^ 18
father which  ^ 18
before the lord;  ^ 17
god of israel.  ^ 17
of the lord unto  ^ 17
blessed be the lord  ^ 17
came into  ^ 17
come unto  ^ 17
not, nor  ^ 17
for we  ^ 17
five hundred  ^ 17
and god  ^ 17
that in  ^ 17
all these things  ^ 17
because of the  ^ 17
you, that  ^ 17
the world.  ^ 17
even so  ^ 17
what is  ^ 17
if there be  ^ 17
word of god  ^ 17
from the dead,  ^ 17
the brethren  ^ 17
name of the  ^ 17
not as  ^ 17
his brother  ^ 17
the will  ^ 17
stood before  ^ 17
year of king  ^ 17
king of israel,  ^ 17
these things,  ^ 17
for the children  ^ 17
sent unto  ^ 17
cried unto  ^ 17
of israel said  ^ 17
of jesus christ,  ^ 17
and gave  ^ 17
to another,  ^ 17
unto the house  ^ 17
the lord; for  ^ 17
thou also  ^ 17
and how  ^ 17
the servant of the lord  ^ 17
all the inhabitants  ^ 17
and the lord god  ^ 17
enter into  ^ 17
jesus. and  ^ 17
unto them, why  ^ 17
come into  ^ 17
of the people  ^ 17
and saying,  ^ 17
the word that  ^ 17
with them,  ^ 17
them. but  ^ 17
and i heard  ^ 17
and upon  ^ 17
the sea  ^ 17
behold, the lord  ^ 17
come, saith  ^ 17
for whosoever  ^ 17
and purple, and scarlet,  ^ 17
then jesus  ^ 17
he saith unto them,  ^ 17
answered him,  ^ 17
kingdom of heaven  ^ 17
to the chief musician, a psalm  ^ 17
all israel,  ^ 16
the ark of god  ^ 16
and god said  ^ 16
before the ark  ^ 16
unto god,  ^ 16
be with  ^ 16
of the house of the lord.  ^ 16
upon the throne  ^ 16
of god  ^ 16
by whom  ^ 16
for our  ^ 16
and our  ^ 16
is in  ^ 16
in his own  ^ 16
our lord  ^ 16
am the  ^ 16
him: but  ^ 16
unto you,  ^ 16
what man  ^ 16
in you,  ^ 16
and stood before  ^ 16
of israel, which  ^ 16
him all  ^ 16
the lord; behold,  ^ 16
after this  ^ 16
for so  ^ 16
the lord hath spoken  ^ 16
upon the earth.  ^ 16
of the lord which  ^ 16
and five years  ^ 16
the house of the lord,  ^ 16
when the lord  ^ 16
which the  ^ 16
to all  ^ 16
the commandment of the lord  ^ 16
the people, saying,  ^ 16
the lord: for  ^ 16
unto him, behold,  ^ 16
but what  ^ 16
the scripture  ^ 16
if thou  ^ 16
this evil  ^ 16
of israel did  ^ 16
the king of babylon,  ^ 16
these are  ^ 16
and found  ^ 16
the man  ^ 16
and it was  ^ 16
and saw  ^ 16
people, and  ^ 16
they said,  ^ 16
me in  ^ 16
he said unto him,  ^ 16
the elders  ^ 16
the land of egypt,  ^ 16
the people.  ^ 16
sea, and  ^ 16
house. and  ^ 16
and he took  ^ 16
on his  ^ 16
the law,  ^ 16
the city,  ^ 16
and peter  ^ 16
the earth.  ^ 16
appeared unto  ^ 16
young bullock,  ^ 16
one young  ^ 16
unto the door  ^ 16
as i live,  ^ 16
and begot sons  ^ 16
after he begot  ^ 16
therefore said  ^ 16
of fine flour mingled  ^ 16
answering said  ^ 16
one ram,  ^ 16
not to  ^ 15
over israel,  ^ 15
and david said,  ^ 15
thousand and six  ^ 15
the lord our god,  ^ 15
to another  ^ 15
and it shall come to pass, when  ^ 15
o lord god,  ^ 15
david, saying,  ^ 15
thousand men  ^ 15
of the tribe  ^ 15
in the sight of all  ^ 15
for these  ^ 15
also the  ^ 15
for it is written,  ^ 15
because the  ^ 15
the gentiles  ^ 15
as it is written,  ^ 15
for now  ^ 15
god is  ^ 15
the church  ^ 15
there is no  ^ 15
and we  ^ 15
my beloved  ^ 15
of whom  ^ 15
with you  ^ 15
know ye not  ^ 15
until the  ^ 15
the power  ^ 15
christ. and  ^ 15
he is  ^ 15
not. and  ^ 15
the devil  ^ 15
after other  ^ 15
the lord said  ^ 15
king of egypt,  ^ 15
the house of israel,  ^ 15
and spoke unto  ^ 15
unto them, what  ^ 15
of god, which  ^ 15
behold, i will bring  ^ 15
before the children  ^ 15
of the kings of judah?  ^ 15
whom i  ^ 15
unto him, thus  ^ 15
the king of israel,  ^ 15
behold now,  ^ 15
and say, thus  ^ 15
in jerusalem. and his mother's  ^ 15
the place where  ^ 15
of the land of egypt,  ^ 15
this house  ^ 15
for you,  ^ 15
returned unto  ^ 15
a certain man  ^ 15
and saul said  ^ 15
then said he unto  ^ 15
was upon  ^ 15
shall come upon  ^ 15
knew that  ^ 15
hundred men  ^ 15
also in  ^ 15
you. and  ^ 15
with them  ^ 15
to come unto  ^ 15
and to the  ^ 15
all the cities  ^ 15
fear not,  ^ 15
that which was right in the sight  ^ 15
to make an atonement for  ^ 15
seven days:  ^ 15
of the children of israel:  ^ 15
in the name  ^ 15
the midst of the  ^ 15
earth. and  ^ 15
him from  ^ 15
people. and  ^ 15
the city  ^ 15
me. but  ^ 15
saying, the  ^ 15
said the  ^ 15
the prophet,  ^ 15
the lord unto  ^ 15
and for  ^ 15
to jeremiah  ^ 15
the son of nun,  ^ 15
and the priest shall take  ^ 15
and moses said,  ^ 15
and moses and aaron  ^ 15
shekels, after the shekel  ^ 15
therefore, behold,  ^ 15
god; because  ^ 15
unto them, when  ^ 15
unto joseph,  ^ 15
come and  ^ 15
saying, master,  ^ 15
mingled with oil,  ^ 15
the four  ^ 15
bullock, one  ^ 15
to the chief musician upon  ^ 15
the throne,  ^ 15
and the men of israel  ^ 14
the men of israel  ^ 14
to david  ^ 14
the ark of the lord  ^ 14
for it is  ^ 14
the man of god,  ^ 14
of the house of god,  ^ 14
in the house of the lord.  ^ 14
and four thousand.  ^ 14
you, brethren,  ^ 14
i know not  ^ 14
of him  ^ 14
are not  ^ 14
if i  ^ 14
the lord, that  ^ 14
i am not  ^ 14
therefore the  ^ 14
which also  ^ 14
among you  ^ 14
the last  ^ 14
in the lord,  ^ 14
that we  ^ 14
of the holy  ^ 14
for your  ^ 14
us from  ^ 14
not his  ^ 14
in heaven,  ^ 14
but not  ^ 14
and the rest of the acts  ^ 14
his fathers, and was buried  ^ 14
from the lord  ^ 14
of the lord, saying,  ^ 14
that the word of the lord  ^ 14
israel with  ^ 14
until the day  ^ 14
came out of  ^ 14
did as  ^ 14
go with  ^ 14
unto you.  ^ 14
the end  ^ 14
on him  ^ 14
on the right hand  ^ 14
and saul said,  ^ 14
fell on  ^ 14
called unto  ^ 14
they also  ^ 14
departed from  ^ 14
in those days,  ^ 14
word of the  ^ 14
them in  ^ 14
for every  ^ 14
that are with  ^ 14
not from  ^ 14
into the hand of the king  ^ 14
his mercy endureth forever:  ^ 14
out of the land of egypt  ^ 14
and the glory of the lord  ^ 14
and all the kings  ^ 14
the son of josiah  ^ 14
the place which  ^ 14
the words that  ^ 14
and there were  ^ 14
the throne  ^ 14
in that  ^ 14
in thy  ^ 14
the earth:  ^ 14
of the earth,  ^ 14
and he said,  ^ 14
all nations  ^ 14
the words  ^ 14
her. and  ^ 14
peter and  ^ 14
and as they  ^ 14
and as he  ^ 14
the wilderness,  ^ 14
me, saith the lord.  ^ 14
unto them, i  ^ 14
and joshua the son  ^ 14
upon the earth,  ^ 14
all the firstborn  ^ 14
of the first year:  ^ 14
and put it upon  ^ 14
to enter into  ^ 14
unto me, son  ^ 14
this is the law  ^ 14
thousand and four  ^ 14
the prophets,  ^ 14
him: for  ^ 14
say unto him,  ^ 14
then saith  ^ 14
i say unto thee,  ^ 14
out of his  ^ 14
asked him,  ^ 14
mingled with oil  ^ 14
his clothes, and bathe  ^ 14
one kid  ^ 14
after their families, by the house  ^ 14
and upward, all  ^ 14
seven days.  ^ 13
before god.  ^ 13
the land of canaan,  ^ 13
forever and ever.  ^ 13
these words,  ^ 13
of god came  ^ 13
that were  ^ 13
and two thousand  ^ 13
stood by  ^ 13
the angel of the lord  ^ 13
o lord my god,  ^ 13
nay; but  ^ 13
into the house of the lord,  ^ 13
were twenty and four  ^ 13
and i will be  ^ 13
the commandments of the lord  ^ 13
they are written in  ^ 13
moses the servant  ^ 13
nine hundred  ^ 13
but of  ^ 13
you by  ^ 13
the coming  ^ 13
in one  ^ 13
the lord. for  ^ 13
not for  ^ 13
ye know that  ^ 13
of the spirit  ^ 13
and have  ^ 13
in christ,  ^ 13
 the  ^ 13
i also  ^ 13
me: for  ^ 13
ye not that  ^ 13
you. but  ^ 13
the apostles  ^ 13
likewise also  ^ 13
brethren, and  ^ 13
and these  ^ 13
unto king  ^ 13
before the king,  ^ 13
before the king.  ^ 13
for the king  ^ 13
pharaoh king  ^ 13
that the king  ^ 13
he did, are they  ^ 13
of the kings of israel?  ^ 13
all the evil  ^ 13
after these  ^ 13
and she said unto  ^ 13
the altar of the lord  ^ 13
said, who  ^ 13
shall be with  ^ 13
the four corners  ^ 13
that it was  ^ 13
which i have given  ^ 13
and samuel said  ^ 13
throughout all the land  ^ 13
unto saul,  ^ 13
and said, behold,  ^ 13
shall know that  ^ 13
and the lord  ^ 13
if ye  ^ 13
the lord jesus  ^ 13
in our  ^ 13
prophets, and  ^ 13
and to  ^ 13
the tabernacle of the congregation,  ^ 13
to jerusalem  ^ 13
at that time,  ^ 13
evil against  ^ 13
and three thousand  ^ 13
by the hand of moses.  ^ 13
the lord, behold,  ^ 13
the high priest,  ^ 13
holy ghost,  ^ 13
you all.  ^ 13
him the  ^ 13
and her  ^ 13
who made  ^ 13
this city,  ^ 13
unto him, what  ^ 13
of josiah king  ^ 13
the captain of the guard  ^ 13
gedaliah the son  ^ 13
of the king of babylon,  ^ 13
said, lord,  ^ 13
not, and  ^ 13
all the men  ^ 13
of the lord of hosts  ^ 13
kingdom of god,  ^ 13
and mary  ^ 13
the men  ^ 13
then answered  ^ 13
and went  ^ 13
and laid  ^ 13
paul and  ^ 13
but when the  ^ 13
and on  ^ 13
and took  ^ 13
and he came  ^ 13
the multitude,  ^ 13
that he was  ^ 13
disciples, and  ^ 13
him into  ^ 13
unto them  ^ 13
go unto  ^ 13
for there is  ^ 13
and was  ^ 13
the mount  ^ 13
the lord. thus  ^ 13
shadrach, meshach,  ^ 13
the lord swore  ^ 13
of the lord your god,  ^ 13
six days  ^ 13
this land  ^ 13
in the tabernacle of the congregation,  ^ 13
unto pharaoh,  ^ 13
soul shall be cut off  ^ 13
and moses took  ^ 13
moreover the word of the lord  ^ 13
the lord have spoken  ^ 13
the west side,  ^ 13
from the east side  ^ 13
and two. the children  ^ 13
i am with  ^ 13
even the  ^ 13
jeremiah from  ^ 13
jesus said,  ^ 13
me; and  ^ 13
my name,  ^ 13
but whosoever  ^ 13
of a sweet savor  ^ 13
savor unto the lord.  ^ 13
one lamb  ^ 13
ye shall do no  ^ 13
of the first year,  ^ 13
woe unto you,  ^ 13
all that were able to go forth  ^ 13
twelve thousand.  ^ 13
these were the sons  ^ 12
not; for  ^ 12
these men  ^ 12
and the anger of the lord  ^ 12
of the lord was kindled  ^ 12
that day,  ^ 12
perceived that  ^ 12
as moses  ^ 12
be the lord god  ^ 12
on that day  ^ 12
lo, i  ^ 12
the day that  ^ 12
thousand men.  ^ 12
of the children of ammon  ^ 12
against the children  ^ 12
and all the host  ^ 12
of the children of ammon,  ^ 12
said, this  ^ 12
the house of the lord  ^ 12
the inhabitants of the land  ^ 12
of the sons  ^ 12
the house of the lord.  ^ 12
thousand. of  ^ 12
before all  ^ 12
on the throne  ^ 12
behold, they are written  ^ 12
these cities  ^ 12
christ our  ^ 12
but we  ^ 12
and peace,  ^ 12
god our  ^ 12
grace of god  ^ 12
of god.  ^ 12
for in  ^ 12
the head  ^ 12
in you  ^ 12
that all  ^ 12
saith the  ^ 12
that your  ^ 12
jerusalem. and  ^ 12
with you,  ^ 12
of the lord, that  ^ 12
god. for  ^ 12
and again,  ^ 12
and who  ^ 12
in every  ^ 12
or of  ^ 12
lord jesus,  ^ 12
and she  ^ 12
with him,  ^ 12
of him.  ^ 12
from all  ^ 12
his son  ^ 12
the truth,  ^ 12
him, because  ^ 12
in him,  ^ 12
us, and  ^ 12
god hath given  ^ 12
that whosoever  ^ 12
and king solomon  ^ 12
went to  ^ 12
there was no  ^ 12
that is before  ^ 12
all the house  ^ 12
so did  ^ 12
which came  ^ 12
and he said, i  ^ 12
nor drink  ^ 12
every green  ^ 12
his fathers in the city  ^ 12
of the kingdom  ^ 12
for ye  ^ 12
may know that  ^ 12
and said to  ^ 12
and he said, what  ^ 12
they came to  ^ 12
unto him, why  ^ 12
the king of judah  ^ 12
and god said,  ^ 12
he also  ^ 12
among the children  ^ 12
which thou gavest  ^ 12
the good  ^ 12
for there  ^ 12
unto you, and  ^ 12
saying, who  ^ 12
went with  ^ 12
and ye shall be  ^ 12
grace of our  ^ 12
every good  ^ 12
to jerusalem.  ^ 12
and came unto  ^ 12
the people of the land  ^ 12
a covenant with  ^ 12
and twenty years  ^ 12
much people  ^ 12
the king of assyria,  ^ 12
king of babylon,  ^ 12
me, that  ^ 12
me: and  ^ 12
in you.  ^ 12
this also  ^ 12
the light  ^ 12
made israel  ^ 12
which i commanded  ^ 12
in the lord  ^ 12
those days  ^ 12
whom the king  ^ 12
and all the inhabitants  ^ 12
according to the commandment  ^ 12
go to  ^ 12
and he went  ^ 12
place where  ^ 12
to the house  ^ 12
god: for  ^ 12
go into  ^ 12
and john,  ^ 12
the mother  ^ 12
but peter  ^ 12
all thy  ^ 12
unto them, saying,  ^ 12
they said  ^ 12
the jews,  ^ 12
went into  ^ 12
after that  ^ 12
and it came to pass  ^ 12
unto them. and  ^ 12
of the city  ^ 12
of my  ^ 12
the ship  ^ 12
there shall be no  ^ 12
and shall not  ^ 12
the hour  ^ 12
kings of the  ^ 12
the place  ^ 12
the number  ^ 12
by what  ^ 12
the name of the lord  ^ 12
nebuchadnezzar the king  ^ 12
