Phrase ^ Count
and the lord spoke unto moses, saying,  ^ 72
poured out his vial upon the  ^ 6
grace be unto you, and peace, from  ^ 5
behold, they are written in the book of the chronicles  ^ 5
they are written in the book of the chronicles of the kings  ^ 5
in the book of the chronicles of the kings of israel.  ^ 5
and the king of israel said unto jehoshaphat,  ^ 5
amen. paul, an apostle of jesus christ  ^ 5
paul, an apostle of jesus christ by  ^ 5
and he did that which was right in the sight of the lord, according to all  ^ 5
that which was right in the sight of the lord, according to all that  ^ 5
of nebat, who made israel to sin.  ^ 5
therefore thus saith the lord god  ^ 5
and the two kidneys, and the fat that is upon  ^ 5
day of the month, that the word of the lord came unto  ^ 5
thou shalt love thy neighbor as thyself.  ^ 5
in that day, saith the lord of hosts,  ^ 5
for all this his anger is not turned away,  ^ 5
this his anger is not turned away, but his hand  ^ 5
his anger is not turned away, but his hand is stretched out  ^ 5
is not turned away, but his hand is stretched out still.  ^ 5
that came to jeremiah from  ^ 5
to jeremiah from the lord, saying,  ^ 5
the word of the lord that came to  ^ 5
year of jehoiakim the son of josiah king  ^ 5
therefore thus saith the lord; behold,  ^ 5
the son of kareah, and all the captains of the forces  ^ 5
with her suburbs; four cities. and out of the tribe  ^ 5
and upon the thumb of his right hand, and upon  ^ 5
the thumb of his right hand, and upon the great toe  ^ 5
of his right hand, and upon the great toe of his right  ^ 5
shall wash his clothes, and bathe himself in water, and be unclean  ^ 5
as the lord commanded moses. and the lord  ^ 5
the lord commanded moses. and the lord spoke  ^ 5
commanded moses. and the lord spoke unto  ^ 5
spoke unto moses, saying, command  ^ 5
the inwards, and the two kidneys, and the fat that  ^ 5
and he said unto them,  ^ 5
there shall be weeping and gnashing  ^ 5
the chief priests and the scribes  ^ 5
you by what authority i do  ^ 5
by what authority i do these things.  ^ 5
 he answered and said unto them,  ^ 5
bullocks, two rams, and fourteen lambs  ^ 5
two rams, and fourteen lambs of the first  ^ 5
and their meat offering and their drink offerings for the bullocks, for the rams, and for the lambs,  ^ 5
and for the lambs, shall be according to their number, after the manner: and one goat  ^ 5
shall be according to their number, after the manner: and one goat for a sin offering;  ^ 5
after the manner: and one goat for a sin offering; beside  ^ 5
and one goat for a sin offering; beside the continual  ^ 5
goat for a sin offering; beside the continual burnt offering,  ^ 5
of their fathers, from thirty years old and upward  ^ 5
from thirty years old and upward even unto  ^ 5
years old and upward even unto fifty  ^ 5
old and upward even unto fifty years  ^ 5
angel poured out his vial upon  ^ 5
the name of our lord jesus  ^ 4
god our father, and from the lord  ^ 4
our father, and from the lord jesus  ^ 4
father, and from the lord jesus christ.  ^ 4
be unto you, and peace, from god  ^ 4
peace, from god our father,  ^ 4
the coming of our lord jesus  ^ 4
in the name of the lord  ^ 4
shall reign after me, and he shall sit upon  ^ 4
thus saith the lord, the god of israel,  ^ 4
father of our lord jesus christ,  ^ 4
be with you all. amen. paul,  ^ 4
from god our father and  ^ 4
and five years old when he began to reign, and he reigned  ^ 4
in the sight of the lord, according to all that his father  ^ 4
an apostle of jesus christ by the will  ^ 4
of jesus christ by the will of god,  ^ 4
the sins of jeroboam the son of nebat, who  ^ 4
and he did that which was evil in the sight of the lord: he departed  ^ 4
that which was evil in the sight of the lord: he departed not  ^ 4
therefore thus saith the lord concerning  ^ 4
liveth, and as thy soul liveth, i will not leave  ^ 4
and he did that which was evil in the sight of the lord, according to all  ^ 4
that which was evil in the sight of the lord, according to all that  ^ 4
my beloved son, in whom  ^ 4
god our father and the lord  ^ 4
our father and the lord jesus  ^ 4
christ be with you all. amen.  ^ 4
lord jesus christ be with you  ^ 4
jesus christ be with you all.  ^ 4
lord, sit thou on my right hand,  ^ 4
god of abraham, and the god  ^ 4
of abraham, and the god of isaac,  ^ 4
and the god of isaac, and  ^ 4
the god of isaac, and the  ^ 4
god of isaac, and the god  ^ 4
and it came to pass in those days,  ^ 4
yet have ye not returned unto me, saith the lord.  ^ 4
the sound of the cornet, flute, harp, sackbut,  ^ 4
of the cornet, flute, harp, sackbut, psaltery,  ^ 4
the land whither thou goest to possess  ^ 4
unto the land which the lord thy god  ^ 4
the people shall say, amen. cursed be he that lieth  ^ 4
shall say, amen. cursed be he that lieth with  ^ 4
the same, and a knop under two branches of  ^ 4
under two branches of the same, and a knop  ^ 4
two branches of the same, and a knop under  ^ 4
branches of the same, and a knop under two  ^ 4
of the same, and a knop under two branches  ^ 4
side of the tabernacle, and five bars for the boards  ^ 4
according to all that the lord commanded moses,  ^ 4
that the lord commanded moses, so  ^ 4
the lord commanded moses, so did  ^ 4
the lord god. again the word of the lord came  ^ 4
thus saith the lord god; woe  ^ 4
the lord god. moreover the word of the lord came  ^ 4
god. moreover the word of the lord came unto  ^ 4
of the lord came again unto me, saying, son  ^ 4
came again unto me, saying, son of man,  ^ 4
for i have spoken it , saith the lord  ^ 4
the word of the lord came unto me, saying,  ^ 4
side four thousand and five hundred,  ^ 4
side unto the west side, a  ^ 4
a thousand two hundred fifty and four. the children  ^ 4
saying, thus speaketh the lord of hosts,  ^ 4
thus saith the lord god of hosts,  ^ 4
and the voice of gladness, the voice of the bridegroom, and the voice  ^ 4
of hosts, the god of israel; behold, i will bring  ^ 4
came unto jeremiah from the lord,  ^ 4
the lord. behold, the days come, saith  ^ 4
thus saith the lord, the god of israel;  ^ 4
in the fourth year of jehoiakim the son of josiah  ^ 4
saying, thus saith the lord of hosts,  ^ 4
of kareah, and all the captains of the forces that  ^ 4
and said unto him, art thou  ^ 4
art thou the king of the  ^ 4
thou the king of the jews?  ^ 4
jesus answered and said unto them,  ^ 4
unto them, verily, verily, i say unto you,  ^ 4
said unto them, verily, verily, i say  ^ 4
with her suburbs, to be a city of refuge  ^ 4
her suburbs, to be a city of refuge for the slayer;  ^ 4
of reuben and the children of gad and the half tribe  ^ 4
and the children of gad and the half tribe of manasseh  ^ 4
unto the children of israel, saying, if  ^ 4
either in the warp, or in the woof, or  ^ 4
the tip of the right ear of him that is to be cleansed, and upon  ^ 4
of the right ear of him that is to be cleansed, and upon the thumb  ^ 4
ear of him that is to be cleansed, and upon the thumb of his right  ^ 4
of him that is to be cleansed, and upon the thumb of his right hand,  ^ 4
turtledoves, or two young pigeons,  ^ 4
moses, saying, speak unto aaron,  ^ 4
unto moses, saying, command the children  ^ 4
moses, saying, command the children of israel,  ^ 4
the fat that is upon the inwards, and the two  ^ 4
them, which is by the flanks, and the caul above  ^ 4
is by the flanks, and the caul above the liver,  ^ 4
the flanks, and the caul above the liver, with  ^ 4
and the caul above the liver, with the kidneys,  ^ 4
that is upon the inwards, and the two kidneys,  ^ 4
is upon the inwards, and the two kidneys, and the fat  ^ 4
that covereth the inwards, and all the fat that  ^ 4
the inwards, and all the fat that is upon  ^ 4
and all the fat that is upon the inwards,  ^ 4
and jesus answering said unto them,  ^ 4
the one shall be taken, and the  ^ 4
one shall be taken, and the other  ^ 4
thou son of david, have mercy on me. and  ^ 4
and he answered and said unto them,  ^ 4
and ye shall be hated of all  ^ 4
the son of man coming in  ^ 4
the king of the jews? and  ^ 4
james the son of zebedee, and john  ^ 4
with the baptism that i am baptized  ^ 4
unto them, verily i say unto you, that  ^ 4
it is better for thee to enter into  ^ 4
my father which is in heaven.  ^ 4
that it might be fulfilled which was spoken by the  ^ 4
shall be weeping and gnashing of teeth.  ^ 4
a holy convocation; ye shall do no servile  ^ 4
for a sin offering; beside the continual burnt offering, his meat offering,  ^ 4
beside the continual burnt offering, his meat offering, and his drink offering.  ^ 4
rams, and fourteen lambs of the first year  ^ 4
and upward even unto fifty years old,  ^ 4
even unto fifty years old, every one  ^ 4
for he is good: for his mercy endureth forever.  ^ 4
oh that men would praise the lord for his goodness, and for his wonderful works to the children  ^ 4
the lord for his goodness, and for his wonderful works to the children of men!  ^ 4
i am alpha and omega,  ^ 4
and unto the angel of the church  ^ 4
the spirit saith unto the churches.  ^ 4
give unto the lord glory and strength. give  ^ 3
unto the lord glory and strength. give unto the lord  ^ 3
glory and strength. give unto the lord the glory  ^ 3
became david's servants, and brought gifts.  ^ 3
preserved david whithersoever he went. and david  ^ 3
first and last, behold, they are written in  ^ 3
and last, behold, they are written in the book  ^ 3
by the same spirit; to  ^ 3
the same spirit; to another  ^ 3
the name of the lord jesus,  ^ 3
lord jesus christ, by whom  ^ 3
in him, and he in  ^ 3
solomon thy son shall reign after me, and he  ^ 3
thy son shall reign after me, and he shall sit  ^ 3
the priest, and nathan the prophet, and benaiah the son  ^ 3
blessed be the lord god of israel, which  ^ 3
slept with his fathers, and was buried in the city  ^ 3
the lord cast out before the children of israel.  ^ 3
the treasures of the house of the lord, and the treasures of the king's  ^ 3
years reigned he in jerusalem. and his mother's name  ^ 3
with his fathers in the city of david his father:  ^ 3
and was buried with his fathers in the city of david  ^ 3
and he did evil in the sight of the lord, and walked  ^ 3
evil in the sight of the lord, and walked in the way  ^ 3
for thus saith the lord god  ^ 3
and five years in jerusalem. and his mother's name  ^ 3
a house for the name of the lord god of israel.  ^ 3
god and father of our lord  ^ 3
and father of our lord jesus  ^ 3
and the two sons of eli, hophni and phinehas,  ^ 3
saith the lord god of israel, i  ^ 3
unto the lord. and the lord said unto  ^ 3
grace, mercy, and peace, from god  ^ 3
bezaleel the son of uri, the son of hur,  ^ 3
saying, thus saith the lord god  ^ 3
was twenty and five years old when he began to reign,  ^ 3
they are written in the book of the kings of israel  ^ 3
and twenty years old when he began to reign, and reigned  ^ 3
and worshiped all the host of heaven, and served  ^ 3
was eight years old when he began to reign, and he reigned  ^ 3
upon this place, and upon the inhabitants  ^ 3
thus saith the lord, behold, i will bring  ^ 3
saith the lord, behold, i will bring evil  ^ 3
the lord, behold, i will bring evil upon  ^ 3
behold, i will bring evil upon this  ^ 3
i will bring evil upon this place,  ^ 3
unto him, thus saith the lord god  ^ 3
the evil that i will bring upon  ^ 3
years old when he began to reign, and he reigned eleven  ^ 3
old when he began to reign, and he reigned eleven years  ^ 3
that bed on which thou art gone up, but shalt surely die.  ^ 3
from the sins of jeroboam the son of nebat, who  ^ 3
which was over the household, and shebna the scribe,  ^ 3
shall not be delivered into the hand of the king of assyria.  ^ 3
as the lord liveth, and as thy soul liveth, i will not  ^ 3
the daughter of jeremiah of libnah. and he did that which was evil  ^ 3
and he reigned eleven years in jerusalem. and his mother's  ^ 3
eleven years in jerusalem. and his mother's name  ^ 3
this is my beloved son,  ^ 3
is my beloved son, in  ^ 3
father and the lord jesus christ.  ^ 3
peace, from god our father  ^ 3
and james, and john, and  ^ 3
heaven, and earth, and the  ^ 3
and earth, and the sea,  ^ 3
earth, and the sea, and  ^ 3
into the kingdom of god. and  ^ 3
in the name of jesus christ  ^ 3
and they said unto him,  ^ 3
lord said unto my lord, sit  ^ 3
said unto my lord, sit thou on  ^ 3
unto my lord, sit thou on my  ^ 3
and the lord said unto  ^ 3
saul, saul, why persecutest thou me?  ^ 3
the chief priests and the elders  ^ 3
the god of abraham, and the  ^ 3
saith the lord. thus saith the lord;  ^ 3
the lord. thus saith the lord; for  ^ 3
nor worship the golden image which  ^ 3
that the most high ruleth in the kingdom of men,  ^ 3
the most high ruleth in the kingdom of men, and giveth  ^ 3
ruleth in the kingdom of men, and giveth it to whomsoever  ^ 3
in the land which the lord swore  ^ 3
all the commandments which i command  ^ 3
thou, and thy son, and thy daughter, and thy manservant, and thy maidservant,  ^ 3
all his commandments which i command  ^ 3
for thou art a holy people unto the lord  ^ 3
thy god. thou shalt not seethe a kid in his mother's  ^ 3
thou shalt not seethe a kid in his mother's milk.  ^ 3
that the lord thy god may bless thee in all  ^ 3
which the lord thy god giveth thou shalt not  ^ 3
lest he die in the battle, and another man  ^ 3
the lord thy god with all thine heart, and with all  ^ 3
the land of canaan, which i give  ^ 3
the iniquity of the fathers upon the children unto  ^ 3
of the fathers upon the children unto the third  ^ 3
upon the children unto the third and fourth  ^ 3
moses. and the lord said unto moses,  ^ 3
and the lord said unto moses, stretch out  ^ 3
said unto moses, stretch out thine hand  ^ 3
him, thus saith the lord god of the hebrews,  ^ 3
unto all the congregation of the children of israel,  ^ 3
cubits, and the breadth of one curtain four  ^ 3
and the breadth of one curtain four cubits:  ^ 3
under one board, and two sockets  ^ 3
one board, and two sockets under  ^ 3
board, and two sockets under another  ^ 3
and two sockets under another board.  ^ 3
two sockets under one board,  ^ 3
sockets under one board, and two  ^ 3
and aaron and his sons shall put their hands upon  ^ 3
and his sons shall put their hands upon the head  ^ 3
the inwards, and the caul above the liver, and the two kidneys,  ^ 3
the god of abraham, the god of isaac, and the god  ^ 3
and thou shalt speak unto the children of israel, saying,  ^ 3
and the lord said unto moses, take  ^ 3
from his people. and the lord spoke unto moses,  ^ 3
the son of uri, the son of hur, of the tribe  ^ 3
and he made the staves of shittim wood, and overlaid  ^ 3
hundred thousand and three thousand and five  ^ 3
thousand and three thousand and five hundred  ^ 3
as the lord commanded moses. and he made  ^ 3
and the children of israel did according to all that  ^ 3
of israel did according to all that the lord  ^ 3
did according to all that the lord commanded  ^ 3
not unto them; as the lord had said.  ^ 3
unto them; as the lord had said. and the lord  ^ 3
them; as the lord had said. and the lord said  ^ 3
the lord had said. and the lord said unto  ^ 3
had said. and the lord said unto moses,  ^ 3
unto moses, say unto aaron,  ^ 3
say unto them, thus saith the lord  ^ 3
the lord god. and the word of the lord came  ^ 3
god. and the word of the lord came unto  ^ 3
of the lord; thus saith the lord god;  ^ 3
saith the lord god. the word of the lord  ^ 3
the lord god. the word of the lord came  ^ 3
were in it, as i live, saith the lord  ^ 3
it, as i live, saith the lord god,  ^ 3
the house of israel, thus saith the lord  ^ 3
saith the lord god. again the word of the lord  ^ 3
god. again the word of the lord came unto  ^ 3
live, saith the lord god, surely  ^ 3
thus saith the lord god; i  ^ 3
unto me, saying, son of man, speak  ^ 3
saith the lord god. moreover the word of the lord  ^ 3
son of man, set thy face toward  ^ 3
prophesy and say, thus saith the lord  ^ 3
i have spoken it , saith the lord god.  ^ 3
day of the month, the word of the lord came unto  ^ 3
that i am the lord. thus saith  ^ 3
i am the lord. thus saith the lord  ^ 3
am the lord. thus saith the lord god;  ^ 3
hear the word of the lord god; thus  ^ 3
the word of the lord god; thus saith  ^ 3
of the lord god; thus saith the lord  ^ 3
then the word of the lord came unto me, saying,  ^ 3
of israel. thus saith the lord god;  ^ 3
them, thus saith the lord god; behold,  ^ 3
cubits, and the breadth five and twenty cubits.  ^ 3
and god saw that it was good. and god  ^ 3
thus speaketh the lord of hosts, saying,  ^ 3
year of darius, came the word of the lord  ^ 3
for thus saith the lord of hosts;  ^ 3
today if ye will hear his voice,  ^ 3
if ye will hear his voice, harden  ^ 3
ye will hear his voice, harden not  ^ 3
his voice, harden not your  ^ 3
art a priest forever after the order  ^ 3
forever after the order of melchizedek.  ^ 3
thus saith the lord god, behold,  ^ 3
for thus saith the lord, behold,  ^ 3
thus saith the lord of hosts, behold,  ^ 3
saith the lord. thus saith the lord  ^ 3
came unto me, saying, thus saith  ^ 3
of the lord that came to jeremiah  ^ 3
that came to jeremiah concerning  ^ 3
of mirth, and the voice of gladness, the voice of the bridegroom,  ^ 3
all the evil that i have pronounced against  ^ 3
the word which came unto jeremiah  ^ 3
which came unto jeremiah from  ^ 3
saith the lord. behold, the days come,  ^ 3
from the lord, saying, thus saith  ^ 3
jeremiah from the lord, saying, thus  ^ 3
thus saith the lord of hosts; behold,  ^ 3
then came the word of the lord unto jeremiah,  ^ 3
the word of the lord unto jeremiah, saying,  ^ 3
behold, i will give this city into the hand  ^ 3
saying, thus saith the lord, the god  ^ 3
gedaliah the son of ahikam the son of shaphan,  ^ 3
and all the captains of the forces that were with  ^ 3
came to jeremiah the prophet against  ^ 3
shall not my soul be avenged on such a nation  ^ 3
my soul be avenged on such a nation as this?  ^ 3
and i only am escaped alone to tell  ^ 3
only am escaped alone to tell while he  ^ 3
am escaped alone to tell while he was yet  ^ 3
alone to tell while he was yet speaking,  ^ 3
to tell while he was yet speaking, there came  ^ 3
while he was yet speaking, there came also another,  ^ 3
was yet speaking, there came also another, and said,  ^ 3
and merciful, slow to anger, and of great kindness,  ^ 3
that thou hast sent me. and  ^ 3
but me ye have not always.  ^ 3
whither i go, ye cannot  ^ 3
and again, a little while, and ye shall see  ^ 3
a little while, and ye shall not see me:  ^ 3
and ye shall not see me: and  ^ 3
ye shall not see me: and again,  ^ 3
see me: and again, a little while,  ^ 3
me: and again, a little while, and  ^ 3
hail, king of the jews! and  ^ 3
thou knowest that i love thee.  ^ 3
jesus said unto them, verily, verily,  ^ 3
and i will raise him up at the last  ^ 3
i will raise him up at the last day.  ^ 3
and his disciples asked him,  ^ 3
his disciples asked him, saying,  ^ 3
and joshua returned, and all israel with  ^ 3
it with the edge of the sword, and all the souls that  ^ 3
eleazar the priest, and joshua the son of nun,  ^ 3
of gilead, the son of machir, the son of manasseh,  ^ 3
cities with their villages. this is the inheritance of the tribe  ^ 3
with their villages. this is the inheritance of the tribe of the children  ^ 3
of reuben, and to the children of gad, and to  ^ 3
unto the children of reuben, and to the children  ^ 3
the children of reuben, and to the children of gad,  ^ 3
and the children of israel did evil again  ^ 3
of israel did evil again in the sight  ^ 3
and the children of israel did evil in the sight  ^ 3
an offering made by fire, of a sweet savor unto the lord. and if  ^ 3
because he cheweth the cud, but divideth  ^ 3
he cheweth the cud, but divideth not  ^ 3
cheweth the cud, but divideth not the hoof;  ^ 3
the cud, but divideth not the hoof; he  ^ 3
but divideth not the hoof; he is unclean  ^ 3
in the warp, or in the woof, or in any  ^ 3
or in the woof, or in any thing  ^ 3
in the woof, or in any thing of skin;  ^ 3
in the garment, either in the warp, or in the woof,  ^ 3
spoke unto moses, saying, this  ^ 3
moses. and the lord spoke unto moses,  ^ 3
moses, saying, speak unto aaron  ^ 3
convocation: ye shall do no servile work  ^ 3
by the hand of moses. and the lord spoke unto  ^ 3
of moses. and the lord spoke unto moses,  ^ 3
above the liver, with the kidneys, it shall he take away.  ^ 3
kidneys, and the fat that is upon them, which  ^ 3
and the fat that is upon them, which is by  ^ 3
that is upon them, which is by the flanks,  ^ 3
is upon them, which is by the flanks, and the caul  ^ 3
the lord. and he shall lay his hand upon the head  ^ 3
the fat that covereth the inwards, and all the fat  ^ 3
and put it upon the horns of the altar of burnt offering,  ^ 3
it upon the horns of the altar of burnt offering, and shall pour out  ^ 3
and aaron and his sons laid their hands upon  ^ 3
and his sons laid their hands upon the head  ^ 3
the lord thy god with all  ^ 3
thy god with all thy  ^ 3
god with all thy heart,  ^ 3
with all thy heart, and  ^ 3
all thy heart, and with  ^ 3
thy heart, and with all  ^ 3
heart, and with all thy  ^ 3
and with all thy soul,  ^ 3
with all thy soul, and  ^ 3
all thy soul, and with  ^ 3
thy soul, and with all  ^ 3
soul, and with all thy  ^ 3
thou shalt love the lord thy god with  ^ 3
a sign; and there shall no sign be given  ^ 3
shall rise up in the judgment with  ^ 3
judgment with this generation, and  ^ 3
with this generation, and shall condemn  ^ 3
this generation, and shall condemn it:  ^ 3
the scribes and the pharisees  ^ 3
and the fowls of the air  ^ 3
for him that a millstone were hanged about  ^ 3
that a millstone were hanged about his  ^ 3
a millstone were hanged about his neck,  ^ 3
were hanged about his neck, and  ^ 3
suffer many things, and be rejected of  ^ 3
shall be taken, and the other left.  ^ 3
for of such is the kingdom  ^ 3
said unto him, why callest thou me  ^ 3
unto him, why callest thou me good?  ^ 3
and thou shalt have treasure in heaven:  ^ 3
thou shalt have treasure in heaven: and  ^ 3
than for a rich man to enter into the  ^ 3
for a rich man to enter into the kingdom  ^ 3
to enter into the kingdom of god.  ^ 3
it is easier for a camel to go through  ^ 3
but ye have made it a den  ^ 3
ye have made it a den of thieves.  ^ 3
have made it a den of thieves. and  ^ 3
and the scribes and the  ^ 3
and jesus said unto him,  ^ 3
by what authority doest thou these things?  ^ 3
and they asked him, saying, master,  ^ 3
and raise up seed unto his brother.  ^ 3
last of all the woman died  ^ 3
of all the woman died also.  ^ 3
sit thou on my right hand, till  ^ 3
thou on my right hand, till i make  ^ 3
my right hand, till i make thine  ^ 3
right hand, till i make thine enemies  ^ 3
saying, if we shall say, from heaven;  ^ 3
with themselves, saying, if we shall say,  ^ 3
themselves, saying, if we shall say, from  ^ 3
against nation, and kingdom against  ^ 3
nation, and kingdom against kingdom:  ^ 3
nation shall rise against nation, and  ^ 3
shall rise against nation, and kingdom  ^ 3
and kingdom against kingdom: and  ^ 3
but my words shall not pass away.  ^ 3
one stone upon another, that shall not be thrown down. and  ^ 3
for many shall come in my  ^ 3
many shall come in my name,  ^ 3
shall come in my name, saying,  ^ 3
in my name, saying, i  ^ 3
my name, saying, i am  ^ 3
him. and he said unto them,  ^ 3
before the cock crow, thou shalt deny me  ^ 3
the cock crow, thou shalt deny me thrice.  ^ 3
the veil of the temple was rent  ^ 3
he shall baptize you with the holy  ^ 3
the voice of one crying in the wilderness,  ^ 3
of one crying in the wilderness, prepare  ^ 3
in the wilderness, prepare ye the  ^ 3
the wilderness, prepare ye the way  ^ 3
wilderness, prepare ye the way of the lord,  ^ 3
prepare ye the way of the lord, make  ^ 3
ye the way of the lord, make his  ^ 3
way of the lord, make his paths  ^ 3
of the lord, make his paths straight.  ^ 3
good fruit is hewn down, and cast  ^ 3
