Phrase ^ Count
thus saith the lord  ^ 223
unto this day,  ^ 11
the lord jesus  ^ 11
in christ jesus  ^ 11
know ye not that  ^ 11
the son of nebat, who  ^ 11
of the lord, which he spoke  ^ 11
knew not that  ^ 11
the grace of our  ^ 11
moses the servant of the lord  ^ 11
that which was evil in the sight of the lord,  ^ 11
saith the lord, behold,  ^ 11
and the god  ^ 11
him in the  ^ 11
all these words  ^ 11
and when the  ^ 11
and they said  ^ 11
the kingdom of god,  ^ 11
entered into the  ^ 11
chief priests and the  ^ 11
in the days  ^ 11
then said the  ^ 11
into the land which  ^ 11
the lord. thus saith  ^ 11
according to all that the lord  ^ 11
all the words of this  ^ 11
the people shall say, amen.  ^ 11
shall know that i  ^ 11
the congregation of the children of israel,  ^ 11
unto moses and unto  ^ 11
and say unto them, when  ^ 11
from the east side unto  ^ 11
side unto the west  ^ 11
said unto joseph,  ^ 11
hear the word of the lord,  ^ 11
of hosts, the god of israel,  ^ 11
the earth, and  ^ 11
jeremiah from the lord,  ^ 11
his clothes, and bathe himself in water,  ^ 11
with all thy  ^ 11
for i say unto you,  ^ 11
according to the number of the names, from twenty  ^ 11
of the names, from twenty years  ^ 11
by their generations, after their families, by the house  ^ 11
beside the continual burnt offering,  ^ 11
shekels , one silver bowl  ^ 11
and thirty shekels , one silver  ^ 11
of the sanctuary; both of them full  ^ 11
both of them full of fine flour  ^ 11
of them full of fine flour mingled  ^ 11
of ten shekels , full of incense:  ^ 11
shekels , full of incense: one  ^ 11
to the chief musician, a psalm of david.  ^ 11
twelve thousand. of  ^ 11
thousand. of the tribe  ^ 11
and in his course were twenty  ^ 10
from god our  ^ 10
jesus christ our  ^ 10
jesus christ be with  ^ 10
jesus christ, and  ^ 10
answered and said unto  ^ 10
that he did, are they  ^ 10
after these things,  ^ 10
unto the lord, and said,  ^ 10
for the children of israel  ^ 10
and the king of israel said  ^ 10
and five years old  ^ 10
and saul said unto  ^ 10
then came the word of the lord  ^ 10
the word of the lord unto  ^ 10
and the lord jesus  ^ 10
grace of our lord  ^ 10
and he did that which was right in the sight  ^ 10
that which was right in the sight of the lord,  ^ 10
of the lord, according to all that  ^ 10
and the people  ^ 10
the kings of the  ^ 10
and the chief priests  ^ 10
the place where  ^ 10
the city, and  ^ 10
saith the lord; for  ^ 10
saith the lord. thus  ^ 10
which the lord swore  ^ 10
i command thee this day,  ^ 10
and all the people shall say,  ^ 10
shall say, amen. cursed  ^ 10
the door of the tabernacle of the congregation,  ^ 10
i the lord have spoken  ^ 10
unto the west side,  ^ 10
and joseph said unto  ^ 10
and saith unto him,  ^ 10
jesus saith unto her,  ^ 10
which is in heaven.  ^ 10
him, saying, master,  ^ 10
the scribes and  ^ 10
asked him, saying,  ^ 10
and joshua said unto  ^ 10
and bathe himself in water, and be unclean  ^ 10
himself in water, and be unclean until  ^ 10
scribes and pharisees,  ^ 10
jesus answering said  ^ 10
the prophet, saying,  ^ 10
his offering was one silver  ^ 10
for a meat offering: one golden  ^ 10
one golden spoon  ^ 10
golden spoon of ten  ^ 10
spoon of ten shekels , full  ^ 10
thousand and six hundred.  ^ 9
and the anger of the lord was kindled  ^ 9
behold, they are written in  ^ 9
lord jesus christ.  ^ 9
the world, and  ^ 9
into the world,  ^ 9
the lord said unto  ^ 9
i will bring evil upon  ^ 9
before the children of israel.  ^ 9
with his fathers in the city  ^ 9
all the evil that  ^ 9
forty days and forty  ^ 9
pharaoh king of egypt,  ^ 9
and god said unto  ^ 9
and samuel said unto  ^ 9
he said unto  ^ 9
in the sight of the lord, according to all  ^ 9
for the son  ^ 9
be with you all.  ^ 9
throughout all the  ^ 9
and the angel of the lord said  ^ 9
who made israel  ^ 9
cried with a loud voice,  ^ 9
said unto the lord,  ^ 9
in the temple  ^ 9
him. and the  ^ 9
with him. and  ^ 9
and he said unto him,  ^ 9
the people. and  ^ 9
into the temple,  ^ 9
in the wilderness,  ^ 9
the earth. and  ^ 9
is not this  ^ 9
then said the lord unto  ^ 9
shadrach, meshach, and abed-nego,  ^ 9
the place which the lord  ^ 9
is the thing which the lord  ^ 9
the lord commanded moses,  ^ 9
all the congregation of the children  ^ 9
moses and unto aaron,  ^ 9
son of man, set  ^ 9
of man, set thy face  ^ 9
for i the lord  ^ 9
and pharaoh said unto  ^ 9
sons and daughters: and all  ^ 9
and daughters: and all the days  ^ 9
of jehoiakim the son of josiah  ^ 9
the god of israel; behold,  ^ 9
him, and said  ^ 9
jesus answered them,  ^ 9
and jesus saith  ^ 9
ye shall do no servile  ^ 9
and he answered  ^ 9
the kingdom of heaven.  ^ 9
silver charger, the weight  ^ 9
the third part of the  ^ 9
the name of that place  ^ 8
and it came to pass after this,  ^ 8
said unto god,  ^ 8
in the book of the kings  ^ 8
the name of jesus  ^ 8
and peace, from  ^ 8
for as the  ^ 8
and if any man  ^ 8
is not of  ^ 8
the third day  ^ 8
and the word  ^ 8
only, but also  ^ 8
the children of the  ^ 8
and the whole  ^ 8
that the son  ^ 8
the word, and  ^ 8
and under every green  ^ 8
year of asa king  ^ 8
and it came to pass after these  ^ 8
him, thus saith the lord,  ^ 8
in the land which  ^ 8
with a loud voice, saying,  ^ 8
of israel, thus saith  ^ 8
said unto saul,  ^ 8
said to david,  ^ 8
that the children of israel  ^ 8
and twenty years old  ^ 8
you all. amen.  ^ 8
of nebat, who made  ^ 8
with them, and  ^ 8
i am not  ^ 8
kingdom of god. and  ^ 8
and upon the  ^ 8
him. and he  ^ 8
and they that were with  ^ 8
in those days,  ^ 8
the word of god,  ^ 8
and for four, i will not  ^ 8
four, i will not turn away  ^ 8
i will not turn away the punishment thereof; because  ^ 8
the lord; for three  ^ 8
for three transgressions  ^ 8
day, saith the lord  ^ 8
which is called by  ^ 8
the lord commanded moses  ^ 8
which i give  ^ 8
for i am the lord  ^ 8
this is the thing which  ^ 8
and moses spoke unto  ^ 8
of blue, and purple, and scarlet,  ^ 8
moses, saying, take  ^ 8
thousand and five hundred  ^ 8
my people, and i will be  ^ 8
god; behold, i am against  ^ 8
and he said unto me, son  ^ 8
and say unto them, thus  ^ 8
four thousand and five  ^ 8
and begot sons and daughters.  ^ 8
for i am with  ^ 8
and begot sons and daughters:  ^ 8
of josiah king of judah,  ^ 8
from the lord, saying,  ^ 8
gedaliah the son of ahikam  ^ 8
the son of kareah, and all  ^ 8
and the two  ^ 8
him. then said  ^ 8
him, saying, lord,  ^ 8
said unto him, lord,  ^ 8
king of the jews?  ^ 8
and he saith unto them,  ^ 8
with her suburbs; four  ^ 8
of a sweet savor unto the lord.  ^ 8
or two young  ^ 8
but i say unto you,  ^ 8
woe unto you, scribes  ^ 8
unto you, scribes and  ^ 8
and pharisees, hypocrites!  ^ 8
with me in  ^ 8
is the kingdom  ^ 8
ears to hear, let him hear.  ^ 8
by what authority  ^ 8
and the first  ^ 8
came out of the  ^ 8
kingdom of heaven is  ^ 8
he answered and said,  ^ 8
and over the host of the tribe  ^ 8
the host of the tribe of the children  ^ 8
said unto balaam,  ^ 8
for a sin offering; beside the continual  ^ 8
years old and upward  ^ 8
was one silver charger,  ^ 8
whereof was a hundred and thirty shekels , one  ^ 8
charger, the weight whereof was a hundred  ^ 8
the weight whereof was a hundred and thirty  ^ 8
and the third part  ^ 8
sent messengers to  ^ 7
the ark of the covenant of the lord,  ^ 7
peace, from god  ^ 7
our father, and  ^ 7
the sea; and  ^ 7
but the spirit  ^ 7
name of the lord  ^ 7
and by the  ^ 7
the lord, and  ^ 7
but if the  ^ 7
likewise also the  ^ 7
the father, and  ^ 7
and the world  ^ 7
that the father  ^ 7
the son of god,  ^ 7
the lord, the god of israel,  ^ 7
did evil in the sight  ^ 7
behold, i will bring evil  ^ 7
for the lord hath spoken  ^ 7
his fathers, and was buried with  ^ 7
and was buried with his fathers  ^ 7
then the word of the lord came  ^ 7
came the word of the lord  ^ 7
unto all the people,  ^ 7
for the time  ^ 7
said unto samuel,  ^ 7
said unto all  ^ 7
cried unto the lord,  ^ 7
unto the lord god  ^ 7
o lord god of israel,  ^ 7
said unto him, behold,  ^ 7
these words unto  ^ 7
the hand of the lord was  ^ 7
even unto this day,  ^ 7
the lord jesus christ.  ^ 7
the coming of the  ^ 7
which is in christ  ^ 7
came into the  ^ 7
i know that  ^ 7
king of judah, saying,  ^ 7
the lord god of israel.  ^ 7
saith the lord. behold,  ^ 7
with all the  ^ 7
in the world,  ^ 7
and he said unto me,  ^ 7
of god, and the  ^ 7
commanded moses. and the lord  ^ 7
saith the lord concerning  ^ 7
unto the lord, saying,  ^ 7
and they said one to  ^ 7
in those days  ^ 7
of the earth, and  ^ 7
him out of the  ^ 7
the holy ghost,  ^ 7
enter into the  ^ 7
but when the  ^ 7
and said unto  ^ 7
into the house  ^ 7
the lord said  ^ 7
and entered into  ^ 7
me in the  ^ 7
him. and it came to pass,  ^ 7
kingdom of god, and  ^ 7
into the city,  ^ 7
of israel, saith the lord  ^ 7
after other gods,  ^ 7
thou goest to possess  ^ 7
when the lord thy god  ^ 7
unto the place which  ^ 7
for the lord thy god  ^ 7
the congregation of the children of israel  ^ 7
said unto aaron,  ^ 7
which the children of israel  ^ 7
their hands upon the head  ^ 7
and put it upon the horns  ^ 7
and the two kidneys, and the fat  ^ 7
kidneys, and the fat that  ^ 7
of the children of israel, which  ^ 7
and unto aaron, saying,  ^ 7
again the word of the lord came  ^ 7
son of man, prophesy  ^ 7
saith the lord. for  ^ 7
side four thousand  ^ 7
thy neighbor as  ^ 7
for the lord god  ^ 7
were nine hundred  ^ 7
thou art the  ^ 7
after the order  ^ 7
word of god, and  ^ 7
day, saith the lord,  ^ 7
for the day of the lord  ^ 7
the word that came  ^ 7
to jeremiah from  ^ 7
therefore, behold, the days  ^ 7
came unto jeremiah  ^ 7
of kareah, and all the captains  ^ 7
said unto satan,  ^ 7
and they asked him,  ^ 7
come and see.  ^ 7
answered and said,  ^ 7
jesus answered him,  ^ 7
and the father  ^ 7
my father, and  ^ 7
and jesus said,  ^ 7
said unto him, thou  ^ 7
this is the inheritance of the tribe  ^ 7
is the inheritance of the tribe of the children  ^ 7
her suburbs; four cities.  ^ 7
of reuben and the children of gad  ^ 7
his hand upon the head  ^ 7
no servile work  ^ 7
the whole multitude  ^ 7
pharisees, hypocrites! for  ^ 7
scribes and the  ^ 7
in heaven: and  ^ 7
unto them, verily i say  ^ 7
while he yet spake,  ^ 7
but jesus said  ^ 7
answered and said unto him,  ^ 7
and when he was come  ^ 7
his disciples came  ^ 7
bullocks, two rams,  ^ 7
and for the lambs, shall be according to their number, after the manner:  ^ 7
shall be according to their number, after the manner: and one  ^ 7
from thirty years old  ^ 7
praise ye the lord. praise  ^ 7
the throne, and  ^ 7
poured out his vial  ^ 7
angel of the church  ^ 7
write; these things saith  ^ 7
he that hath an ear, let him hear  ^ 7
an ear, let him hear what  ^ 7
let him hear what the  ^ 7
what the spirit  ^ 7
the spirit saith  ^ 7
spirit saith unto the  ^ 7
through jesus christ  ^ 7
and the people that were with  ^ 6
thousand men that drew  ^ 6
came to me, saying,  ^ 6
in the same  ^ 6
god our father,  ^ 6
christ our lord.  ^ 6
but if any man  ^ 6
by the spirit  ^ 6
for god is  ^ 6
in christ jesus.  ^ 6
is my beloved  ^ 6
of the lord jesus.  ^ 6
of the lord jesus,  ^ 6
of the lord, and  ^ 6
the son, and  ^ 6
into the world.  ^ 6
is the son  ^ 6
world, and the  ^ 6
and the spirit  ^ 6
that ye may know that  ^ 6
the world, but  ^ 6
said unto the children  ^ 6
and there was war between  ^ 6
began to reign over israel  ^ 6
of asa king of judah  ^ 6
which he spoke by  ^ 6
all the days of his life.  ^ 6
slept with his fathers;  ^ 6
and thou shalt know that i  ^ 6
thus saith the king,  ^ 6
said unto his servants,  ^ 6
according to all that his father  ^ 6
the lord spoke unto  ^ 6
the land which i have given  ^ 6
and the people said unto  ^ 6
all the children of israel,  ^ 6
of the lord came upon  ^ 6
sent messengers unto  ^ 6
liveth, and as thy soul liveth,  ^ 6
said unto him, why  ^ 6
and said unto him, behold,  ^ 6
and all the house of israel  ^ 6
spoke unto all  ^ 6
the lord. and the lord said  ^ 6
in jerusalem. his mother's name  ^ 6
with his fathers, and they buried  ^ 6
amaziah king of judah,  ^ 6
the son of joash king  ^ 6
for the lord your god  ^ 6
evil upon this  ^ 6
of the lord by the hand of moses.  ^ 6
by the will of god,  ^ 6
christ, the son  ^ 6
made israel to sin.  ^ 6
came to the king,  ^ 6
i have found grace in thy sight,  ^ 6
all the people that  ^ 6
and john, and  ^ 6
of the earth. and  ^ 6
some of them  ^ 6
one of them  ^ 6
them. and the  ^ 6
and the next  ^ 6
and the multitude  ^ 6
them into the  ^ 6
and with him  ^ 6
the elders of the  ^ 6
and when they were come  ^ 6
the people, and  ^ 6
the elders, and  ^ 6
in the synagogues,  ^ 6
the sea. and  ^ 6
into the temple  ^ 6
kings of the earth  ^ 6
and the son  ^ 6
at that time  ^ 6
to jerusalem, and  ^ 6
the son of god.  ^ 6
peter said unto him,  ^ 6
the lord said,  ^ 6
unto me, saith the lord.  ^ 6
saith the lord god:  ^ 6
whither thou goest  ^ 6
which the lord god  ^ 6
before the lord thy god,  ^ 6
that the lord thy god  ^ 6
that the lord spoke unto  ^ 6
balaam the son of beor  ^ 6
after other gods  ^ 6
the land which i swore  ^ 6
the land which he swore  ^ 6
his wife, and  ^ 6
the fruit of the  ^ 6
honor thy father  ^ 6
thy father and  ^ 6
if it please the king,  ^ 6
behold, i send  ^ 6
two branches of  ^ 6
under two branches  ^ 6
the hooks of the pillars and their fillets  ^ 6
it upon the horns of the altar  ^ 6
hand, and upon the great toe  ^ 6
of the lord appeared unto  ^ 6
commanded moses, so  ^ 6
let my people go,  ^ 6
i am the lord your god,  ^ 6
throughout all the land of egypt.  ^ 6
did as the lord  ^ 6
set thy face against  ^ 6
of the lord came again unto  ^ 6
came again unto me, saying,  ^ 6
into the hand of the king of babylon,  ^ 6
of the first year without blemish:  ^ 6
the west side, a  ^ 6
thou shalt love thy neighbor  ^ 6
neighbor as thyself.  ^ 6
and god saw that  ^ 6
and the evening and the morning were  ^ 6
and thirty years, and begot  ^ 6
said unto abraham,  ^ 6
said unto his brethren,  ^ 6
thus speaketh the lord  ^ 6
the blood of the  ^ 6
the word of the lord that  ^ 6
of the lord that came  ^ 6
upon the throne of david,  ^ 6
and say unto him,  ^ 6
that the scripture  ^ 6
and the earth  ^ 6
unto jeremiah from  ^ 6
of nebuchadnezzar king of babylon,  ^ 6
is called by my name,  ^ 6
the son of ahikam the son  ^ 6
answered the lord, and said,  ^ 6
him, and the  ^ 6
unto him, and  ^ 6
me, and i in  ^ 6
the christ, the  ^ 6
that thou art  ^ 6
saith unto him, lord,  ^ 6
his life shall lose  ^ 6
then jesus said  ^ 6
that i am  ^ 6
said unto him, if  ^ 6
unto him, art thou  ^ 6
art thou the  ^ 6
his mother, and  ^ 6
then came the  ^ 6
the sepulcher, and  ^ 6
when he was come into  ^ 6
take up thy bed,  ^ 6
thy bed, and  ^ 6
and immediately the  ^ 6
saying, i am  ^ 6
him. but jesus  ^ 6
his disciples asked  ^ 6
and joshua the son of nun,  ^ 6
the lord commanded by the hand  ^ 6
with her suburbs,   ^ 6
of israel cried unto  ^ 6
of israel did evil  ^ 6
two young pigeons,  ^ 6
shall wash his clothes, and bathe  ^ 6
thou shalt not uncover the nakedness  ^ 6
and he shall lay his hand upon  ^ 6
answering said unto him,  ^ 6
and his mother  ^ 6
the way. and  ^ 6
he said unto him,  ^ 6
him. and, behold,  ^ 6
to enter into the  ^ 6
and the second  ^ 6
jesus answered and said,  ^ 6
they said unto him,  ^ 6
and the seven  ^ 6
and came into  ^ 6
and he took the  ^ 6
by the prophet,  ^ 6
that it might be fulfilled which was spoken  ^ 6
it might be fulfilled which was spoken by  ^ 6
of heaven is like unto  ^ 6
and gnashing of teeth.  ^ 6
but i say  ^ 6
i say unto you,  ^ 6
and next unto them repaired  ^ 6
against moses and against  ^ 6
and one kid of the goats  ^ 6
and balaam said unto  ^ 6
and balak said unto  ^ 6
of moab by jordan  ^ 6
and their drink offerings for the bullocks, for the rams,  ^ 6
for the bullocks, for the rams, and for the lambs,  ^ 6
for the rams, and for the lambs, shall be according to their number,  ^ 6
from a month old and upward,  ^ 6
and the prince of the tribe of the children  ^ 6
angel poured out his  ^ 6
his vial upon  ^ 6
vial upon the  ^ 6
i know thy works,  ^ 6
when he had opened the  ^ 6
angel sounded, and  ^ 6
all these were the sons  ^ 5
of the lord god of israel.  ^ 5
o give thanks unto the lord; for  ^ 5
and benaiah the son of jehoiada  ^ 5
and abihu, eleazar, and ithamar.  ^ 5
the lord god of their fathers,  ^ 5
first and last, behold,  ^ 5
the son of meshullam, the son  ^ 5
i beseech you, brethren,  ^ 5
in christ jesus,  ^ 5
name of jesus christ  ^ 5
grace be unto you, and  ^ 5
be unto you, and peace,  ^ 5
the grace of god  ^ 5
coming of our lord  ^ 5
in the day  ^ 5
that the lord  ^ 5
and if the  ^ 5
in the law  ^ 5
him. and when  ^ 5
christ jesus our  ^ 5
the apostles. and  ^ 5
for i am  ^ 5
with you in  ^ 5
the temple of god,  ^ 5
my beloved son,  ^ 5
for the kingdom  ^ 5
lord jesus, and  ^ 5
of god, and  ^ 5
of the fruit  ^ 5
that ye also  ^ 5
of him, and  ^ 5
in the light,  ^ 5
is of the  ^ 5
that jesus is  ^ 5
jesus is the  ^ 5
the word which  ^ 5
the truth, and  ^ 5
the son of god  ^ 5
the world, that  ^ 5
son of god. and  ^ 5
god, and the  ^ 5
and benaiah the son of jehoiada,  ^ 5
before the king. and the king  ^ 5
be the lord god of israel,  ^ 5
perfect with the lord  ^ 5
in the city of david his father:  ^ 5
unto him, saying, thus  ^ 5
hearkened not unto  ^ 5
said unto them, what  ^ 5
of the chronicles of the kings of israel.  ^ 5
every high hill,  ^ 5
of the house of the lord, and the treasures  ^ 5
in the sight of the lord, and walked  ^ 5
over israel in samaria  ^ 5
the lord, and said, o lord  ^ 5
i know that thou  ^ 5
thou knowest that  ^ 5
all this great  ^ 5
unto the king of israel,  ^ 5
said unto jehoshaphat,  ^ 5
of sihon king of the amorites,  ^ 5
and all the men of israel  ^ 5
and do according to all that  ^ 5
the house of the lord, and the king's  ^ 5
and serve other gods,  ^ 5
but the word  ^ 5
for the lord will not  ^ 5
cursed be the man that  ^ 5
if i have found favor  ^ 5
as the lord liveth, and as thy soul  ^ 5
and the lord was with  ^ 5
of israel, saying, if  ^ 5
us from the  ^ 5
unto you, and  ^ 5
in christ jesus:  ^ 5
amen. paul, an apostle  ^ 5
paul, an apostle of jesus  ^ 5
an apostle of jesus christ  ^ 5
of jesus christ by  ^ 5
is in christ jesus.  ^ 5
god our father  ^ 5
our father and  ^ 5
the mystery of the  ^ 5
and not only  ^ 5
which moses the servant  ^ 5
years in jerusalem. his mother's  ^ 5
for i know  ^ 5
and said, o lord god  ^ 5
and all the people of the land  ^ 5
thousand and five hundred,  ^ 5
old when he began to reign, and reigned  ^ 5
the children of israel. and the lord  ^ 5
upon this place,  ^ 5
him, thus saith the lord  ^ 5
of cyrus king of persia,  ^ 5
cubits long, and five  ^ 5
for us, that  ^ 5
lord jesus. and  ^ 5
which the lord  ^ 5
and not as  ^ 5
the light of the  ^ 5
the son of the  ^ 5
come down from heaven,  ^ 5
of the lord said unto  ^ 5
the sins of jeroboam the son  ^ 5
years. and he did that which was evil  ^ 5
was over the household, and shebna  ^ 5
the household, and shebna the scribe,  ^ 5
come into this  ^ 5
the words which the lord  ^ 5
said unto elisha,  ^ 5
all the people, saying,  ^ 5
and elisha said unto  ^ 5
said unto absalom,  ^ 5
when they were come to  ^ 5
unto all the people  ^ 5
and to all the people  ^ 5
as the lord had commanded  ^ 5
and from the  ^ 5
from the dead. and  ^ 5
the word of god.  ^ 5
me. and the  ^ 5
and i heard a voice  ^ 5
certain of the  ^ 5
stood before the  ^ 5
and he saith unto him,  ^ 5
the angel said  ^ 5
into the synagogue  ^ 5
law and the  ^ 5
and after that  ^ 5
i am not worthy  ^ 5
written in the  ^ 5
of god. and the  ^ 5
in the synagogues  ^ 5
and it came to pass in  ^ 5
word of the lord,  ^ 5
and many of the  ^ 5
and when he had thus spoken,  ^ 5
he went into the  ^ 5
and the moon  ^ 5
the gospel of the  ^ 5
and came unto  ^ 5
the first day of the  ^ 5
all the people,  ^ 5
the law, and  ^ 5
unto me, and  ^ 5
him. and he said  ^ 5
and the high priest  ^ 5
the law and  ^ 5
and the elders  ^ 5
but he said,  ^ 5
into the sea,  ^ 5
god of abraham, and  ^ 5
among themselves, saying,  ^ 5
the number of the  ^ 5
in the midst,  ^ 5
at his feet,  ^ 5
