Phrase ^ Count
thus saith the lord god;  ^ 95
jesus christ our lord.  ^ 6
year of asa king of judah  ^ 6
of the lord, which he spoke by  ^ 6
slept with his fathers, and they buried  ^ 6
the kingdom of god, and  ^ 6
and the lord said,  ^ 6
whither thou goest to possess  ^ 6
unto the place which the lord  ^ 6
honor thy father and  ^ 6
all the congregation of the children of israel,  ^ 6
under two branches of  ^ 6
and put it upon the horns of the altar  ^ 6
the lord commanded moses, so  ^ 6
again the word of the lord came unto  ^ 6
of man, set thy face against  ^ 6
the word of the lord came again unto  ^ 6
of the lord came again unto me, saying,  ^ 6
thou shalt love thy neighbor as  ^ 6
thy neighbor as thyself.  ^ 6
and pharaoh said unto joseph,  ^ 6
the word of the lord that came  ^ 6
to jeremiah from the lord,  ^ 6
which is called by my name,  ^ 6
for thus saith the lord;  ^ 6
that the son of man  ^ 6
him. then said jesus  ^ 6
take up thy bed, and  ^ 6
and the scribes and  ^ 6
and the children of israel did evil  ^ 6
or two young pigeons,  ^ 6
and he shall lay his hand upon the head  ^ 6
but i say unto you, that  ^ 6
the scribes and the  ^ 6
and he said unto him,  ^ 6
and he said unto  ^ 6
he said unto them,  ^ 6
that it might be fulfilled which was spoken by  ^ 6
kingdom of heaven is like unto  ^ 6
but i say unto you,  ^ 6
and their drink offerings for the bullocks, for the rams, and for the lambs,  ^ 6
for the bullocks, for the rams, and for the lambs, shall be according to their number,  ^ 6
for the rams, and for the lambs, shall be according to their number, after the manner:  ^ 6
angel poured out his vial  ^ 6
poured out his vial upon  ^ 6
his vial upon the  ^ 6
of the lord came to me, saying,  ^ 5
the name of jesus christ  ^ 5
grace be unto you, and peace,  ^ 5
be unto you, and peace, from  ^ 5
coming of our lord jesus  ^ 5
the lord jesus christ,  ^ 5
that jesus is the  ^ 5
said unto the children of israel,  ^ 5
saith the lord, the god of israel,  ^ 5
did evil in the sight of the lord,  ^ 5
they are written in the book of the chronicles  ^ 5
the book of the chronicles of the kings of israel.  ^ 5
of israel said unto jehoshaphat,  ^ 5
as the lord liveth, and as thy soul liveth,  ^ 5
the lord. and the lord said unto  ^ 5
our lord jesus christ,  ^ 5
amen. paul, an apostle of jesus  ^ 5
paul, an apostle of jesus christ  ^ 5
an apostle of jesus christ by  ^ 5
god our father and  ^ 5
lord jesus christ, and  ^ 5
which moses the servant of the lord  ^ 5
years in jerusalem. his mother's name  ^ 5
they are written in the book of the kings  ^ 5
and five years old when he began to reign,  ^ 5
that which was right in the sight of the lord, according to all  ^ 5
years old when he began to reign, and reigned  ^ 5
him, thus saith the lord god  ^ 5
and the angel of the lord said unto  ^ 5
the sins of jeroboam the son of nebat,  ^ 5
years. and he did that which was evil in the sight  ^ 5
who made israel to sin.  ^ 5
was over the household, and shebna the scribe,  ^ 5
this is my beloved  ^ 5
into the kingdom of god.  ^ 5
the word of the lord,  ^ 5
the kings of the earth  ^ 5
and the son of man  ^ 5
returned unto me, saith the lord.  ^ 5
the land which the lord swore  ^ 5
the place which the lord thy god  ^ 5
unto the land which the lord  ^ 5
shall know that i am the lord,  ^ 5
and moses said unto aaron,  ^ 5
and moses said unto the lord,  ^ 5
two sockets under one  ^ 5
and two sockets under another  ^ 5
kidneys, and the fat that is upon  ^ 5
did as the lord commanded  ^ 5
and they shall know that i am the lord,  ^ 5
that i am the lord god.  ^ 5
day of the month, that the word of the lord came  ^ 5
and god saw that it was good.  ^ 5
saying, thus speaketh the lord  ^ 5
thus speaketh the lord of hosts,  ^ 5
day, saith the lord of hosts,  ^ 5
for all this his anger is not  ^ 5
this his anger is not turned away,  ^ 5
his anger is not turned away, but his hand  ^ 5
is not turned away, but his hand is stretched out  ^ 5
turned away, but his hand is stretched out still.  ^ 5
therefore thus saith the lord,  ^ 5
the lord. thus saith the lord  ^ 5
of the lord that came to  ^ 5
came unto jeremiah from  ^ 5
unto jeremiah from the lord,  ^ 5
year of jehoiakim the son of josiah  ^ 5
gedaliah the son of ahikam the son  ^ 5
of kareah, and all the captains of the forces  ^ 5
him, and said unto him,  ^ 5
the christ, the son  ^ 5
then jesus said unto them,  ^ 5
verily, verily, i say unto thee,  ^ 5
said unto him, art thou  ^ 5
and the third day  ^ 5
but he said unto them,  ^ 5
and jesus saith unto them,  ^ 5
cities with their villages. this is the inheritance  ^ 5
to be a city of refuge for the slayer;  ^ 5
her suburbs; four cities. and out of the tribe  ^ 5
and upon the thumb of his right hand,  ^ 5
the thumb of his right hand, and upon  ^ 5
of his right hand, and upon the great toe  ^ 5
hand, and upon the great toe of his right  ^ 5
shall wash his clothes, and bathe himself in water,  ^ 5
commanded moses. and the lord spoke  ^ 5
moses. and the lord spoke unto  ^ 5
i am the lord your god, which  ^ 5
ye shall do no servile work  ^ 5
a holy convocation; ye shall do no  ^ 5
unto moses, saying, command  ^ 5
saying, command the children of israel,  ^ 5
the inwards, and the two kidneys, and the fat  ^ 5
them, which is by the flanks, and the caul  ^ 5
and the whole multitude  ^ 5
the word of god, and  ^ 5
and one of the  ^ 5
jesus answering said unto them,  ^ 5
there shall be weeping and  ^ 5
shall be weeping and gnashing  ^ 5
to enter into the kingdom  ^ 5
chief priests and the scribes  ^ 5
and the chief priests and  ^ 5
and they asked him, saying,  ^ 5
you by what authority  ^ 5
by what authority i do  ^ 5
what authority i do these things.  ^ 5
and they said unto him,  ^ 5
if thou be the son of god,  ^ 5
the son of man hath  ^ 5
and he answered and said  ^ 5
ears to hear, let him hear. and  ^ 5
for verily i say unto you,  ^ 5
and when he was come into  ^ 5
 he answered and said  ^ 5
it is better for thee to enter  ^ 5
but he answered and said,  ^ 5
in that day, saith the lord,  ^ 5
and balak said unto balaam,  ^ 5
in the plains of moab by jordan  ^ 5
bullocks, two rams, and fourteen  ^ 5
two rams, and fourteen lambs  ^ 5
rams, and fourteen lambs of the first  ^ 5
and their meat offering and their drink offerings for the bullocks, for the rams,  ^ 5
lambs of the first year without blemish:  ^ 5
shall be according to their number, after the manner: and one goat  ^ 5
after the manner: and one goat for a sin offering;  ^ 5
and one goat for a sin offering; beside  ^ 5
goat for a sin offering; beside the continual  ^ 5
of their fathers, from thirty years old  ^ 5
years old and upward even unto  ^ 5
old and upward even unto fifty  ^ 5
and upward even unto fifty years  ^ 5
and the kings of the  ^ 5
unto the angel of the church  ^ 5
and when he had opened the  ^ 5
reigned in his stead: and the name of his city  ^ 4
preserved david whithersoever he went.  ^ 4
and when the children of ammon saw that  ^ 4
nadab, and abihu, eleazar, and ithamar.  ^ 4
first and last, behold, they are written  ^ 4
of gilead, the son of machir, the son  ^ 4
in the book of the kings of israel  ^ 4
name of our lord jesus  ^ 4
the name of our lord  ^ 4
our father, and from the lord  ^ 4
father, and from the lord jesus  ^ 4
and from the lord jesus christ.  ^ 4
the coming of our lord  ^ 4
is my beloved son,  ^ 4
the father and the  ^ 4
for this is the  ^ 4
shall reign after me, and he shall sit  ^ 4
after me, and he shall sit upon  ^ 4
blessed be the lord god of israel,  ^ 4
of the house of the lord, and the treasures of the king's  ^ 4
with his fathers in the city of david.  ^ 4
liveth, before whom i stand,  ^ 4
as the lord spoke unto  ^ 4
and he said, blessed be the lord god  ^ 4
for the name of the lord god of israel.  ^ 4
hath the lord done thus unto this  ^ 4
father of our lord jesus  ^ 4
the stone which the builders  ^ 4
the word of the lord  ^ 4
you all. amen. paul,  ^ 4
which is in christ jesus.  ^ 4
mercy, and peace, from god  ^ 4
from god our father  ^ 4
the son of uri, the son of hur,  ^ 4
the son of jehoram king of judah  ^ 4
was twenty and five years old  ^ 4
of the lord, according to all that his father  ^ 4
and twenty years old when he began to reign,  ^ 4
the children of israel. and the lord spoke  ^ 4
them, thus saith the lord god  ^ 4
of jesus christ by the will  ^ 4
christ by the will of god,  ^ 4
of the lord jesus. and  ^ 4
and he did that which was evil in the sight of the lord:  ^ 4
that which was evil in the sight of the lord: he departed  ^ 4
in the sight of the lord: he departed not  ^ 4
year of azariah king of judah  ^ 4
come into this city,  ^ 4
liveth, and as thy soul liveth, i will not  ^ 4
and as thy soul liveth, i will not leave  ^ 4
that which was evil in the sight of the lord, according to all  ^ 4
my beloved son, in  ^ 4
beloved son, in whom  ^ 4
said unto the king, behold,  ^ 4
our father and the lord  ^ 4
father and the lord jesus  ^ 4
jesus christ be with you  ^ 4
christ be with you all.  ^ 4
and some of them  ^ 4
and they said unto  ^ 4
and the angel said  ^ 4
cried with a loud voice, saying,  ^ 4
lord, sit thou on my  ^ 4
sit thou on my right hand,  ^ 4
and when they were come to  ^ 4
him in the temple,  ^ 4
the lord said unto  ^ 4
and entered into the  ^ 4
the god of abraham, and  ^ 4
the chief priests and elders  ^ 4
god of abraham, and the  ^ 4
of abraham, and the god  ^ 4
and the god of isaac,  ^ 4
the god of isaac, and  ^ 4
god of isaac, and the  ^ 4
of isaac, and the god  ^ 4
and it came to pass in those  ^ 4
it came to pass in those days,  ^ 4
into the city, and  ^ 4
the lord. thus saith the lord;  ^ 4
yet have ye not returned unto me, saith  ^ 4
what seest thou? and i said,  ^ 4
and it shall come to pass in that day, saith  ^ 4
the sound of the cornet, flute, harp,  ^ 4
of the cornet, flute, harp, sackbut,  ^ 4
flute, harp, sackbut, psaltery,  ^ 4
spoke unto the children of israel,  ^ 4
whither ye go to possess  ^ 4
which i command you this day,  ^ 4
in the land which the lord  ^ 4
the land whither thou goest  ^ 4
which the lord your god giveth  ^ 4
which the lord thy god hath given  ^ 4
all the words of this law  ^ 4
into the land which the lord  ^ 4
shall say, amen. cursed be he that lieth  ^ 4
amen. cursed be he that lieth with  ^ 4
after other gods to serve  ^ 4
and ye shall know that i am the lord  ^ 4
two branches of the same, and a knop  ^ 4
branches of the same, and a knop under  ^ 4
of the same, and a knop under two  ^ 4
the same, and a knop under two branches  ^ 4
side of the tabernacle, and five bars  ^ 4
of the tabernacle, and five bars for the boards  ^ 4
their hands upon the head of the ram.  ^ 4
the blood upon the altar round about.  ^ 4
unto moses, say unto  ^ 4
now i have found grace in thy sight,  ^ 4
that the lord commanded moses,  ^ 4
commanded moses, so did  ^ 4
not unto them; as the lord  ^ 4
unto them; as the lord had said.  ^ 4
let my people go, that they may serve  ^ 4
and say unto him, thus saith  ^ 4
then said he unto me, son of man,  ^ 4
and they shall be my people, and i will be  ^ 4
saith the lord god; this  ^ 4
the lord god. again the word of the lord  ^ 4
god. again the word of the lord came  ^ 4
saith the lord god; woe  ^ 4
the lord god. moreover the word of the lord  ^ 4
god. moreover the word of the lord came  ^ 4
of egypt: i am the lord your god.  ^ 4
came again unto me, saying, son  ^ 4
again unto me, saying, son of man,  ^ 4
for i have spoken it , saith  ^ 4
i have spoken it , saith the lord  ^ 4
have spoken it , saith the lord god.  ^ 4
then the word of the lord came unto  ^ 4
of israel. thus saith the lord  ^ 4
four thousand and five hundred,  ^ 4
unto the west side, a  ^ 4
thousand and four hundred. all  ^ 4
a thousand two hundred fifty and four.  ^ 4
two hundred fifty and four. the children  ^ 4
hundred forty and five. the children  ^ 4
and israel said unto joseph,  ^ 4
and joseph said unto his brethren,  ^ 4
the son of josedech, the high priest,  ^ 4
after the order of melchizedek.  ^ 4
forever after the order  ^ 4
saith the lord god of hosts,  ^ 4
and it shall come to pass in that day, that the lord  ^ 4
thus saith the lord of  ^ 4
and the voice of gladness, the voice of the bridegroom,  ^ 4
of gladness, the voice of the bridegroom, and the voice  ^ 4
the god of israel; behold, i will bring  ^ 4
the lord. behold, the days come,  ^ 4
saith the lord, the god of israel;  ^ 4
in the fourth year of jehoiakim the son  ^ 4
from the lord, saying, thus  ^ 4
and all the captains of the forces that  ^ 4
said unto all the people,  ^ 4
only am escaped alone to tell  ^ 4
of one crying in the wilderness,  ^ 4
the son of man must  ^ 4
in me, and i in  ^ 4
they answered and said unto him,  ^ 4
and said unto him, art  ^ 4
art thou the king  ^ 4
thou the king of the  ^ 4
the king of the jews.  ^ 4
and his mother, and  ^ 4
is not this the  ^ 4
said unto them, verily, verily,  ^ 4
unto them, verily, verily, i say  ^ 4
her suburbs, to be a city of refuge  ^ 4
with her suburbs, to be a city  ^ 4
of reuben and the children of gad and the half  ^ 4
and the children of gad and the half tribe  ^ 4
of gad and the half tribe of manasseh  ^ 4
and the lord said unto gideon,  ^ 4
of a sweet savor unto the lord. and if  ^ 4
an offering made by fire, of a sweet savor unto the lord.  ^ 4
of moses. and the lord spoke unto  ^ 4
the children of israel, saying, if  ^ 4
either in the warp, or in the woof,  ^ 4
in the warp, or in the woof, or  ^ 4
the tip of the right ear of him that is to be cleansed,  ^ 4
of the right ear of him that is to be cleansed, and upon  ^ 4
ear of him that is to be cleansed, and upon the thumb  ^ 4
of him that is to be cleansed, and upon the thumb of his right  ^ 4
turtledoves, or two young  ^ 4
saying, speak unto aaron,  ^ 4
moses, saying, command the children  ^ 4
that is upon the inwards, and the two  ^ 4
is by the flanks, and the caul above  ^ 4
the flanks, and the caul above the liver,  ^ 4
and the caul above the liver, with  ^ 4
above the liver, with the kidneys,  ^ 4
is upon the inwards, and the two kidneys,  ^ 4
that covereth the inwards, and all the fat  ^ 4
the inwards, and all the fat that  ^ 4
and all the fat that is upon  ^ 4
the fat that is upon the inwards,  ^ 4
soul, and with all  ^ 4
in the synagogues, and  ^ 4
of the leaven of the  ^ 4
the fowls of the air  ^ 4
blessed is he that cometh in the name  ^ 4
he that hath ears to hear, let him hear.  ^ 4
the law and the  ^ 4
the kingdom of god is  ^ 4
the one shall be taken, and  ^ 4
one shall be taken, and the  ^ 4
shall be taken, and the other  ^ 4
thou son of david, have mercy on me.  ^ 4
of david, have mercy on me. and  ^ 4
the lord hath need  ^ 4
and jesus said unto  ^ 4
of the fruit of the  ^ 4
and ye shall be hated of  ^ 4
ye shall be hated of all  ^ 4
the son of man coming  ^ 4
son of man coming in  ^ 4
i say unto you, that this  ^ 4
saying, this is my  ^ 4
king of the jews? and  ^ 4
but what went ye out for to see?  ^ 4
he charged them that they should tell  ^ 4
the son of zebedee, and john  ^ 4
james the son of zebedee, and  ^ 4
and cried with a loud voice,  ^ 4
whosoever shall put away his wife,  ^ 4
with the baptism that i  ^ 4
baptism that i am baptized  ^ 4
but jesus said unto them,  ^ 4
and jesus saith unto him,  ^ 4
better for thee to enter into  ^ 4
by the prophet, saying,  ^ 4
my father which is in  ^ 4
it might be fulfilled which was spoken by the  ^ 4
and his disciples came  ^ 4
your father which is in  ^ 4
the young child and his  ^ 4
weeping and gnashing of teeth.  ^ 4
thousand and four hundred. of the children  ^ 4
and balaam said unto balak,  ^ 4
convocation; ye shall do no servile  ^ 4
mingled with oil, three tenth deals  ^ 4
kid of the goats for a sin offering; beside  ^ 4
beside the continual burnt offering, his meat offering,  ^ 4
the continual burnt offering, his meat offering, and his drink offering.  ^ 4
and fourteen lambs of the first year  ^ 4
even unto fifty years old,  ^ 4
fifty years old, every one  ^ 4
praise ye the lord. o give thanks unto the lord;  ^ 4
o give thanks unto the lord; for he is good:  ^ 4
for he is good: for his mercy  ^ 4
he is good: for his mercy endureth forever.  ^ 4
oh that men would praise the lord for his goodness, and for his wonderful works  ^ 4
the lord for his goodness, and for his wonderful works to the children  ^ 4
for his goodness, and for his wonderful works to the children of men!  ^ 4
the first and the  ^ 4
i am alpha and  ^ 4
am alpha and omega,  ^ 4
upon the earth. and  ^ 4
seven heads and ten  ^ 4
and another angel came  ^ 4
angel of the church in  ^ 4
i know thy works, and  ^ 4
and unto the angel of the  ^ 4
spirit saith unto the churches.  ^ 4
come and see. and  ^ 4
through jesus christ our  ^ 4
that the lord of hosts hath sent  ^ 4
sent messengers to david,  ^ 3
give unto the lord glory and strength.  ^ 3
unto the lord glory and strength. give  ^ 3
glory and strength. give unto the lord  ^ 3
and strength. give unto the lord the glory  ^ 3
blessed be the lord god of israel  ^ 3
and benaiah the son of jehoiada was over  ^ 3
became david's servants, and brought  ^ 3
david's servants, and brought gifts.  ^ 3
david whithersoever he went. and david  ^ 3
begot obed, and obed begot  ^ 3
had no sons, but  ^ 3
begot azariah, and azariah begot  ^ 3
no sons, but daughters:  ^ 3
and last, behold, they are written in  ^ 3
there unto this day.  ^ 3
now i beseech you, brethren,  ^ 3
jesus christ. i thank my  ^ 3
of our lord jesus christ:  ^ 3
all things are lawful for me, but  ^ 3
in the sea; and  ^ 3
the same spirit; to  ^ 3
same spirit; to another  ^ 3
by the same spirit;  ^ 3
and have not charity,  ^ 3
through our lord jesus  ^ 3
our lord jesus christ.  ^ 3
jesus christ be with you.  ^ 3
name of the lord jesus,  ^ 3
and likewise also the  ^ 3
lord jesus christ, by  ^ 3
jesus christ, by whom  ^ 3
him, and he in  ^ 3
in him, and he  ^ 3
that jesus christ is come in  ^ 3
the word, and the  ^ 3
solomon thy son shall reign after  ^ 3
thy son shall reign after me, and he  ^ 3
and nathan the prophet, and benaiah the son  ^ 3
the priest, and nathan the prophet, and benaiah  ^ 3
be the lord god of israel, which  ^ 3
with his fathers, and was buried in the city  ^ 3
his son reigned in his stead. and rehoboam  ^ 3
thus saith the lord, ye shall not  ^ 3
bread nor drink water  ^ 3
him that pisseth against the wall, and him that is shut up and left  ^ 3
and his mother's name was naamah an ammonitess.  ^ 3
and under every green tree.  ^ 3
the lord cast out before the children  ^ 3
cast out before the children of israel.  ^ 3
king of egypt came up against  ^ 3
the treasures of the house of the lord, and the treasures  ^ 3
years reigned he in jerusalem. and his mother's  ^ 3
reigned he in jerusalem. and his mother's name  ^ 3
his fathers in the city of david his father:  ^ 3
with his fathers in the city of david  ^ 3
and he did evil in the sight of the lord,  ^ 3
evil in the sight of the lord, and walked  ^ 3
in the sight of the lord, and walked in the way  ^ 3
slept with his fathers; and they buried  ^ 3
then the word of the lord came to  ^ 3
according to the word of the lord, which he spoke  ^ 3
unto the lord, and said, o lord  ^ 3
days, that the word of the lord came  ^ 3
of the lord came to elijah  ^ 3
tell thy lord, behold, elijah  ^ 3
do so to me, and more also,  ^ 3
and said unto him, thus saith  ^ 3
and thou shalt know that i am the lord.  ^ 3
and he said, thus saith the lord,  ^ 3
and said, thus saith the lord,  ^ 3
and the word of the lord came to  ^ 3
of israel and jehoshaphat the king of judah  ^ 3
for the lord shall deliver it into the hand of the king.  ^ 3
a lying spirit in the mouth of all  ^ 3
and five years in jerusalem. and his mother's  ^ 3
years old when he began to reign; and he reigned  ^ 3
said unto the king of israel,  ^ 3
ramoth-gilead to battle, or shall i forbear?  ^ 3
said, is there not here a prophet  ^ 3
a house for the name of the lord god  ^ 3
the house of the lord, and the king's house,  ^ 3
and serve other gods, and worship  ^ 3
god and father of our  ^ 3
and father of our lord  ^ 3
and dominion forever and ever. amen.  ^ 3
and the two sons of eli, hophni  ^ 3
sons of eli, hophni and phinehas,  ^ 3
one to another, what  ^ 3
the lord god of israel, i  ^ 3
and the spirit of god came upon  ^ 3
